STATE,CLASS,GENDER,AGE,PAID
STATE 15,C7B,M,54,1100.68
STATE 07,C71,F,54,1064.4
STATE 12,C1 ,F,54,1046.66
STATE 15,C71,M,54,902.67
STATE 12,C2 ,F,54,806.73
STATE 15,C72,M,54,785.41
STATE 02,C71,M,54,718.1
STATE 13,C7B,M,54,537.28
STATE 15,C7A,M,54,530.33
STATE 02,C7A,M,54,483.1
STATE 04,C7A,M,54,437.77
STATE 04,C7B,M,54,342.04
STATE 04,C7B,M,54,243
STATE 15,C72,M,54,218.01
STATE 15,C71,M,54,194.44
STATE 15,C7B,F,54,142.74
STATE 04,C71,M,53,11669.62
STATE 06,C7 ,M,53,7966.3
STATE 02,C7A,F,53,4681
STATE 17,C71,F,53,4334.51
STATE 02,C71,F,53,4060.6
STATE 02,C1B,F,53,3648
STATE 02,C7B,M,53,3569.77
STATE 07,C71,M,53,2992.53
STATE 04,C7 ,F,53,2330.86
STATE 02,C1B,M,53,2203.89
STATE 10,C11,F,53,2200.97
STATE 15,C7 ,M,53,2100.56
STATE 15,C1B,F,53,1916.44
STATE 10,C7 ,F,53,1913.63
STATE 13,C1C,M,53,1809.29
STATE 15,C1 ,M,53,1514.75
STATE 01,C11,M,53,1367.13
STATE 15,C7 ,M,53,1294.25
STATE 15,C7B,F,53,1151.46
STATE 15,C7B,M,53,1100.39
STATE 04,C71,F,53,1097.92
STATE 02,C7C,M,53,1095.07
STATE 15,C7B,M,53,1049.61
STATE 06,C1 ,F,53,1012.67
STATE 01,C7 ,F,53,857.65
STATE 03,C71,M,53,843.54
STATE 02,C7B,M,53,759.89
STATE 15,C1B,M,53,692.58
STATE 13,C1B,M,53,681.24
STATE 02,C1C,M,53,677.29
STATE 10,C11,M,53,636.71
STATE 07,C71,F,53,595
STATE 06,C71,M,53,563.86
STATE 15,C1 ,M,53,555.58
STATE 15,C1B,M,53,547.85
STATE 04,C71,F,53,547.09
STATE 03,C11,F,53,538.41
STATE 02,C7 ,M,53,520.5
STATE 15,C11,M,53,493.79
STATE 17,C7B,F,53,485.77
STATE 15,C7B,M,53,450.54
STATE 03,C71,M,53,439.97
STATE 15,C7A,M,53,436.76
STATE 15,C71,F,53,312.97
STATE 04,C7B,F,53,302.1
STATE 15,C1 ,M,53,287.03
STATE 15,C7B,M,53,274.3
STATE 02,C11,M,53,259.43
STATE 04,C71,M,53,113.92
STATE 03,F7 ,M,53,50
STATE 02,C71,M,53,41.75
STATE 04,C7B,M,52,16175
STATE 01,C1 ,M,52,15845
STATE 06,C7B,M,52,9668.22
STATE 15,C11,F,52,7964.72
STATE 12,C7C,F,52,6210.85
STATE 15,C1A,F,52,6055.33
STATE 02,C71,M,52,5882
STATE 02,C7B,M,52,5370.19
STATE 10,C11,F,52,4171.55
STATE 17,C7 ,M,52,4118.55
STATE 15,C71,F,52,3942.63
STATE 13,C1B,M,52,3696
STATE 15,C1B,M,52,3070.28
STATE 04,F71,M,52,2941.5
STATE 13,C11,M,52,2908.31
STATE 03,F11,M,52,2420.85
STATE 15,C71,M,52,2319.89
STATE 06,C1B,F,52,2313.46
STATE 06,C11,M,52,2264.77
STATE 02,C7 ,M,52,2100
STATE 02,C11,F,52,2027.99
STATE 06,C11,F,52,1967.97
STATE 15,C11,M,52,1758.73
STATE 14,C7 ,M,52,1722.29
STATE 06,C11,F,52,1541.52
STATE 15,C71,M,52,1523.72
STATE 15,C7B,M,52,1376.27
STATE 17,C7B,M,52,1263.16
STATE 12,C7B,M,52,1226.12
STATE 06,C71,F,52,1190.97
STATE 04,F7 ,M,52,1151.64
STATE 02,C1 ,M,52,1057.79
STATE 04,C71,M,52,1044.7
STATE 04,C71,M,52,896.83
STATE 04,C7 ,F,52,894.35
STATE 15,C71,M,52,871.59
STATE 15,C7 ,M,52,778.22
STATE 15,C71,M,52,755.29
STATE 15,C11,M,52,750
STATE 07,C71,F,52,739.14
STATE 17,C7A,F,52,717.05
STATE 02,C71,M,52,675
STATE 02,C1B,F,52,671.72
STATE 04,C7C,M,52,628.83
STATE 15,C7 ,M,52,627.19
STATE 02,C11,M,52,538.16
STATE 15,C71,F,52,504.47
STATE 06,C1 ,M,52,490
STATE 12,C7B,F,52,487.51
STATE 04,C72,M,52,442.7
STATE 03,C7B,M,52,436.37
STATE 04,C71,M,52,355.86
STATE 10,C11,M,52,351.12
STATE 12,C1B,F,52,322.48
STATE 02,C1B,M,52,312.28
STATE 02,C1B,F,52,310.9
STATE 15,C1B,M,52,198.61
STATE 06,C1A,F,52,90.64
STATE 15,C11,M,52,9.5
STATE 02,C71,M,51,12582.27
STATE 04,C71,F,51,6890.65
STATE 12,C1A,F,51,6500.9
STATE 06,C7B,M,51,6193.21
STATE 10,C11,M,51,5389.99
STATE 06,C7B,M,51,4097.87
STATE 17,C71,F,51,3729.71
STATE 02,C11,F,51,2883.95
STATE 17,C71,M,51,2649.87
STATE 04,C71,M,51,2630.23
STATE 10,C71,M,51,2612.98
STATE 12,C11,M,51,2572.15
STATE 17,C71,M,51,2497.95
STATE 10,C71,M,51,1973.7
STATE 01,C7 ,M,51,1784.33
STATE 10,C7C,M,51,1767.51
STATE 03,F71,F,51,1764
STATE 14,C71,F,51,1552.58
STATE 13,C7B,M,51,1501.77
STATE 15,C7 ,M,51,1430.98
STATE 04,C7 ,F,51,1237.92
STATE 15,C1B,F,51,1216.36
STATE 15,C1B,F,51,1200.15
STATE 15,C1B,F,51,1048.92
STATE 15,C7 ,F,51,1040.44
STATE 02,C7 ,M,51,995.3
STATE 02,C11,F,51,968.58
STATE 02,C7C,M,51,925.51
STATE 15,C1B,M,51,860.56
STATE 15,C11,F,51,857.87
STATE 02,C71,F,51,852.32
STATE 06,C7 ,M,51,804.64
STATE 07,C71,F,51,803.48
STATE 12,C1 ,M,51,783.52
STATE 02,C7B,F,51,762
STATE 13,C11,F,51,750
STATE 15,C1 ,F,51,736.48
STATE 07,C71,F,51,701.15
STATE 14,C11,M,51,629.94
STATE 02,C71,F,51,628.77
STATE 15,C7B,M,51,622.64
STATE 06,C7B,F,51,611.57
STATE 17,C7 ,M,51,570.67
STATE 10,C7A,M,51,560.2
STATE 03,C72,M,51,501.15
STATE 03,C71,M,51,395.22
STATE 15,C11,F,51,346.11
STATE 14,C1 ,F,51,343.01
STATE 07,C71,M,51,337.12
STATE 02,C1 ,F,51,311.11
STATE 15,C11,F,51,216.05
STATE 10,C11,F,51,204
STATE 15,C71,M,51,200
STATE 04,C7B,M,51,97.61
STATE 06,C1 ,F,51,61.34
STATE 06,C1A,M,50,12840.97
STATE 15,C1B,F,50,8332.26
STATE 07,C7 ,F,50,7681.88
STATE 15,C7B,M,50,7470.43
STATE 12,C1 ,M,50,6353.97
STATE 12,C7B,M,50,6167.91
STATE 17,C7 ,F,50,5736.48
STATE 03,C71,M,50,5559.99
STATE 10,C11,M,50,5556.29
STATE 15,C7C,M,50,4799.3
STATE 06,C1B,M,50,3875.35
STATE 04,C7A,F,50,3189.51
STATE 17,C7 ,M,50,2976.8
STATE 07,C71,F,50,2850
STATE 12,C7B,M,50,2814.95
STATE 02,C2 ,M,50,2464.86
STATE 01,C11,F,50,2381.3
STATE 15,C1 ,M,50,2372.43
STATE 02,C1B,F,50,2354.25
STATE 02,C1B,M,50,2353.79
STATE 06,C1 ,M,50,2152.01
STATE 02,C7B,M,50,2007
STATE 06,C11,M,50,1972.13
STATE 17,C71,M,50,1835
STATE 10,C11,M,50,1799.75
STATE 04,C71,F,50,1718.52
STATE 15,C7 ,M,50,1586.12
STATE 15,C1B,M,50,1563.22
STATE 15,C1B,F,50,1525.54
STATE 15,C7B,F,50,1515.82
STATE 04,C7B,M,50,1434.74
STATE 10,C71,F,50,1407.91
STATE 04,C7B,F,50,1263.22
STATE 12,C2 ,M,50,1220.37
STATE 17,C71,M,50,1204.08
STATE 15,C71,F,50,1037.08
STATE 04,C7C,M,50,954.26
STATE 02,C7B,M,50,935.97
STATE 04,C71,M,50,885.61
STATE 15,C72,M,50,865.94
STATE 06,C1B,F,50,824.84
STATE 13,C1B,F,50,788.11
STATE 02,C7B,M,50,728.19
STATE 06,C1B,F,50,725.77
STATE 15,C1B,M,50,653.36
STATE 06,C1B,F,50,606.83
STATE 15,C1B,M,50,597.92
STATE 15,C7B,F,50,594.07
STATE 15,C71,M,50,479.54
STATE 10,C7 ,M,50,453.55
STATE 01,C1 ,F,50,436.91
STATE 04,C71,M,50,431.77
STATE 13,C7B,F,50,382.13
STATE 04,C7 ,M,50,377.6
STATE 02,C71,M,50,350
STATE 07,C71,M,50,326.43
STATE 03,C71,F,50,276.78
STATE 03,C7B,F,50,271.14
STATE 06,C7 ,M,50,261
STATE 15,C11,F,50,250
STATE 15,C11,M,50,250
STATE 06,C1B,M,50,129
