Name,Survived,Boarded,Class,MWC,Age,Adut_or_Chld,Sex,Paid,Ticket_No,Boat_or_Body,Job,Class_Dept,Class_Full
"CRAWFORD, Mr Alfred George",Alive,Belfast,Crew,Man,43,Adult,Male,,,8,Bed Room Steward,Victualling Crew,V
"CREASE, Mr Ernest James",Dead,Southampton,3,Man,19,Adult,Male,8.15833333,3464,,Tinsmith,3rd Class Passenger,3
"CREESE, Mr Henry Philip",Dead,Belfast,Crew,Man,44,Adult,Male,,,,Deck Engineer,Engineering Crew,E
"CRIBB, Miss Laura Mae",Alive,Southampton,3,Woman,16,Adult,Female,16.1,371362,12,Shop Assistant,3rd Class Passenger,3
"CRIBB, Mr John Hatfield",Dead,Southampton,3,Man,44,Adult,Male,16.1,371362,,Butler,3rd Class Passenger,3
"CRIMMINS, Mr James",Alive,Southampton,Crew,Man,21,Adult,Male,,,13,Fireman,Engineering Crew,E
"CRISP, Mr Albert Hector",Dead,Belfast,Crew,Man,39,Adult,Male,,,,Saloon Steward,Victualling Crew,V
"CRISPIN, Mr William",Dead,Southampton,Crew,Man,32,Adult,Male,,,,Glory Hole Steward,Victualling Crew,V
"CROSBIE, Mr John Borthwick",Dead,Southampton,Crew,Man,44,Adult,Male,,,,Turkish Bath Attendant,Victualling Crew,V
"CROSBY, Captain Edward Gifford",Dead,Southampton,1,Man,70,Adult,Male,71,5735,[269],,1st Class Passenger,1
"CROSBY, Miss Harriette Rebecca",Alive,Southampton,1,Woman,39,Adult,Female,26.55,112901,7,,1st Class Passenger,1
"CROSBY, Mrs Catherine Elizabeth",Alive,Southampton,1,Woman,64,Adult,Female,71,5735,7,,1st Class Passenger,1
"CROSS, Mr William Alfred",Dead,Southampton,Crew,Man,43,Adult,Male,,,,Fireman,Engineering Crew,E
"CROVELLA, Sig. Luigi",Dead,Southampton,Crew,Man,17,Adult,Male,,,,Assistant Waiter,Restaurant Staff,R
"CROWE, Mr George Frederick",Alive,Southampton,Crew,Man,30,Adult,Male,,,14,Saloon Steward,Victualling Crew,V
"CRUMPLIN, Mr Charles George Chandler",Dead,Belfast,Crew,Man,35,Adult,Male,,,,Bed Room Steward,Victualling Crew,V
"CULLEN, Mr Charles James",Alive,Belfast,Crew,Man,49,Adult,Male,,,11,1st Class Bedroom Steward,Victualling Crew,V
"CULUMOVIC, Mr Jeso",Dead,Southampton,3,Man,17,Adult,Male,8.6625,315090,,,3rd Class Passenger,3
"CUMINGS, Mr John Bradley",Dead,Cherbourg,1,Man,39,Adult,Male,71.2833333,17599,,,1st Class Passenger,1
"CUMINGS, Mrs Florence Briggs",Alive,Cherbourg,1,Woman,35,Adult,Female,71.2833333,17599,4,,1st Class Passenger,1
"CUNNINGHAM, Mr Alfred Fleming",Dead,Belfast,2,Man,21,Adult,Male,0,239853,,Fitter,2nd Class PassengerH&W Guarantee Group,2
"CUNNINGHAM, Mr Andrew Orr",Alive,Belfast,Crew,Man,38,Adult,Male,,,4,1st Class Bedroom Steward,Victualling Crew,V
"CUNNINGHAM, Mr B.",Dead,Southampton,Crew,Man,30,Adult,Male,,,,Fireman,Engineering Crew,E
"CURTIS, Mr Arthur",Dead,Southampton,Crew,Man,25,Adult,Male,,,,Fireman,Engineering Crew,E
"DAHER, Mr Tannous",Dead,Cherbourg,3,Man,28,Adult,Male,7.22916667,2686,,,3rd Class Passenger,3
"DAHL, Mr Charles Edward",Alive,Southampton,3,Man,45,Adult,Male,8.05,7598,15,Carpenter / Joiner,3rd Class Passenger,3
"DAHLBERG, Miss Gerda Ulrika",Dead,Southampton,3,Woman,22,Adult,Female,10.5166667,7552,,,3rd Class Passenger,3
"DAKIC, Mr Branko",Dead,Southampton,3,Man,19,Adult,Male,10.1708333,349228,,General Labourer,3rd Class Passenger,3
"DALY, Miss Margaret Marcella",Alive,Queenstown,3,Woman,33,Adult,Female,6.95,,15,Housekeeper,,3
"DALY, Mr Eugene Patrick",Alive,Queenstown,3,Man,29,Adult,Male,7.75,382651,B,Farm Labourer,3rd Class Passenger,3
"DALY, Mr Peter Dennis",Alive,Southampton,1,Man,51,Adult,Male,26.55,113055,5,Businessman,1st Class Passenger,1
"DANBOM, Master Gilbert Sigvard Emanuel",Dead,Southampton,3,Child,0.33,Child,Male,14.4,347080,,,3rd Class Passenger,3
"DANBOM, Mr Ernst Gilbert",Dead,Southampton,3,Man,34,Adult,Male,14.4,347080,[197],General Labourer,3rd Class Passenger,3
"DANBOM, Mrs Anna Sigrid Maria",Dead,Southampton,3,Woman,28,Adult,Female,14.4,347080,,,3rd Class Passenger,3
"DANIEL, Mr Robert Williams",Alive,Southampton,1,Man,27,Adult,Male,30.5,113804,3,,1st Class Passenger,1
"DANIELS, Miss Sarah",Alive,Southampton,1,Woman,33,Adult,Female,151.8,113781,8,Personal Maid,1st Class PassengerServant,1
"DANIELS, Mr Sidney Edward",Alive,Southampton,Crew,Man,18,Adult,Male,,,,Third class steward,Victualling Crew,V
"DANOFF, Mr Yoto",Dead,Southampton,3,Man,27,Adult,Male,7.89583333,349219,,General Labourer,3rd Class Passenger,3
"DASHWOOD, Mr William George",Dead,Southampton,Crew,Man,18,Adult,Male,,,[83],Saloon Steward (2nd class),Victualling Crew,V
"DAVIDSON, Mr Thornton",Dead,Cherbourg,1,Man,31,Adult,Male,52,12750,,,1st Class Passenger,1
"DAVIDSON, Mrs Orian",Alive,Cherbourg,1,Woman,27,Adult,Female,52,12750,3,,1st Class Passenger,1
"DAVIES, Master John Morgan jr",Alive,Southampton,2,Child,8,Child,Male,36.75,33112,14,,2nd Class Passenger,2
"DAVIES, Mr Alfred J.",Dead,Southampton,3,Man,24,Adult,Male,24.15,48871,,Caster,3rd Class Passenger,3
"DAVIES, Mr Charles Henry",Dead,Southampton,2,Man,19,Adult,Male,73.5,14879,,,2nd Class Passenger,2
"DAVIES, Mr Evan",Dead,Southampton,3,Man,22,Adult,Male,8.05,23568,,Miner,3rd Class Passenger,3
"DAVIES, Mr Gordon Raleigh",Dead,Belfast,Crew,Man,32,Adult,Male,,,,1st Class Bedroom Steward,Victualling Crew,V
"DAVIES, Mr John Samuel",Dead,Southampton,3,Man,21,Adult,Male,24.15,48871,,Ironworker,3rd Class Passenger,3
"DAVIES, Mr Joseph",Dead,Southampton,3,Man,17,Adult,Male,8.05,48873,,Ironworker,3rd Class Passenger,3
"DAVIES, Mr Robert J.",Dead,Belfast,Crew,Man,26,Adult,Male,,,[191],Saloon Steward,Victualling Crew,V
"DAVIES, Mr Thomas",Dead,Southampton,Crew,Man,33,Adult,Male,,,,Leading Fireman,Engineering Crew,E
"DAVIES, Mrs Agnes",Alive,Southampton,2,Woman,48,Adult,Female,36.75,,14,,,2
"DAVIS, Miss Mary",Alive,Southampton,2,Woman,28,Adult,Female,13,237668,13,,2nd Class Passenger,2
"DAVIS, Mr John",Dead,Belfast,Crew,Man,29,Adult,Male,,,[200],Extra 2nd Baker,Victualling Crew,V
"DAVIS, Mr Stephen James",Dead,Southampton,Crew,Man,39,Adult,Male,,,,Able Seaman,Deck Crew,D
"DAVISON, Mr Thomas Henry",Dead,Southampton,3,Man,32,Adult,Male,16.1,386525,,Blacksmith,3rd Class Passenger,3
"DAVISON, Mrs Mary E.",Alive,Southampton,3,Woman,34,Adult,Female,16.1,386525,16,,3rd Class Passenger,3
"DAWSON, Mr Joseph",Dead,Southampton,Crew,Man,23,Adult,Male,,,[227],Trimmer,Engineering Crew,E
"DE MARSICO, Sig. Govanni",Dead,Southampton,Crew,Man,20,Adult,Male,,,,Assistant Waiter,Restaurant Staff,R
"DE MESSEMAEKER, Mr Guillaume Joseph",Alive,Southampton,3,Man,36,Adult,Male,17.4,345572,15,,3rd Class Passenger,3
"DE MESSEMAEKER, Mrs Anna",Alive,Southampton,3,Woman,36,Adult,Female,17.4,345572,13,,3rd Class Passenger,3
"DE MULDER, Mr Theodoor",Alive,Southampton,3,Man,30,Adult,Male,9.5,345774,11,,3rd Class Passenger,3
"DE PELSMAEKER, Mr Alfons",Dead,Southampton,3,Man,16,Adult,Male,9.5,345778,,Farm Labourer,3rd Class Passenger,3
"DEACON, Mr Percy William",Dead,Southampton,2,Man,18,Adult,Male,73.5,14879,,Baker,2nd Class Passenger,2
"DEAN, Master Bertram Vere",Alive,Southampton,3,Child,1,Child,Male,20.575,2315,10,,3rd Class Passenger,3
"DEAN, Miss Elizabeth Gladys 'Millvina'",Alive,Southampton,3,Child,0.08,Child,Female,20.575,2315,10,,3rd Class Passenger,3
"DEAN, Mr Bertram Frank",Dead,Southampton,3,Man,25,Adult,Male,20.575,2315,,Farmer,3rd Class Passenger,3
"DEAN, Mr George H.",Dead,Southampton,Crew,Man,19,Adult,Male,,,[252],Assistant Saloon Steward,Victualling Crew,V
"DEAN, Mrs Eva Georgetta",Alive,Southampton,3,Woman,32,Adult,Female,20.575,2315,10,,3rd Class Passenger,3
"DEBREUCQ, Mr Maurice Emile Victor",Dead,Southampton,Crew,Man,18,Adult,Male,,,[244],Assistant Waiter,Restaurant Staff,R
"DEEBLE, Mr Alfred Arnold",Dead,Belfast,Crew,Man,34,Adult,Male,,,[270],Saloon Steward (1st class),Victualling Crew,V
"DEL CARLO, Mr Sebastiano",Dead,Cherbourg,2,Man,29,Adult,Male,27.7208333,2167,[295],,2nd Class Passenger,2
"DEL CARLO, Mrs Argene",Alive,Cherbourg,2,Woman,24,Adult,Female,27.7208333,2167,11,,2nd Class Passenger,2
"DELALIC, Mr Redjo",Dead,Southampton,3,Man,25,Adult,Male,7.89583333,349250,,General Labourer,3rd Class Passenger,3
"DENBUOY, Mr Albert (Herbert)",Dead,Southampton,2,Man,25,Adult,Male,31.5,,,,,2
"DENKOFF, Mr Mitto",Dead,Southampton,3,Man,30,Adult,Male,7.89583333,349225,,General Labourer,3rd Class Passenger,3
"DENNIS, Mr Samuel",Dead,Southampton,3,Man,22,Adult,Male,7.25,21172,,Farmer,3rd Class Passenger,3
"DENNIS, Mr William",Dead,Southampton,3,Man,26,Adult,Male,7.25,21175,,Farmer,3rd Class Passenger,3
"DERRETT, Mr Arthur Henry",Dead,Belfast,Crew,Man,28,Adult,Male,,,,Saloon Steward (1st class),Victualling Crew,V
"DESLANDES, Mr Percival Stainer",Dead,Southampton,Crew,Man,36,Adult,Male,,,[212],Saloon Steward,Victualling Crew,V
"DESVERNINE, Mr Louis Gabriel",Dead,Southampton,Crew,Man,20,Adult,Male,,,,Assistant Pastry Cook,Restaurant Staff,R
"DEVANEY, Miss Margaret Delia",Alive,Queenstown,3,Woman,19,Adult,Female,7.87916667,330958,C,,3rd Class Passenger,3
"DIAPER, Mr John Joseph",Alive,Southampton,Crew,Man,27,Adult,Male,,,,Fireman,Engineering Crew,E
"DIBDEN, Mr William",Dead,Southampton,2,Man,18,Adult,Male,73.5,14879,,General Labourer,2nd Class Passenger,2
"DICK, Mr Albert Adrian",Alive,Southampton,1,Man,31,Adult,Male,57,17474,3,,1st Class Passenger,1
"DICK, Mrs Vera",Alive,Southampton,1,Woman,17,Adult,Female,57,17474,3,,1st Class Passenger,1
"DICKSON, Mr William",Dead,Southampton,Crew,Man,36,Adult,Male,,,,Trimmer,Engineering Crew,E
"DIKA, Mr Mirko",Dead,Southampton,3,Man,17,Adult,Male,7.89583333,349232,,,3rd Class Passenger,3
"DILLEY, Mr John",Alive,Southampton,Crew,Man,30,Adult,Male,,,,Fireman,Engineering Crew,E
"DILLON, Mr Thomas Patrick",Alive,Southampton,Crew,Man,24,Adult,Male,,,4,Trimmer,Engineering Crew,E
"DIMIC, Mr Jovan",Dead,Southampton,3,Man,42,Adult,Male,8.6625,315088,,,3rd Class Passenger,3
"DINENAGE, Mr James Richard",Dead,Southampton,Crew,Man,49,Adult,Male,,,,Saloon Steward (1st class),Victualling Crew,V
"DINTCHEFF, Mr Valtcho",Dead,Southampton,3,Man,43,Adult,Male,7.89583333,349226,,,3rd Class Passenger,3
"DODD, Mr Edward Charles",Dead,Belfast,Crew,Man,38,Adult,Male,,,,Junior 3rd. Engineer,Engineering Crew,E
"DODD, Mr George Charles",Dead,Belfast,Crew,Man,44,Adult,Male,,,,"Second Steward, 1st Class",Victualling Crew,V
"DODDS, Mr Henry Watson",Dead,Southampton,Crew,Man,27,Adult,Male,,,,Junior Assistant 4th Engineer,Engineering Crew,E
"DODGE, Dr Washington",Alive,Southampton,1,Man,52,Adult,Male,81.8583333,33638,13,Politician,1st Class Passenger,1
"DODGE, Master Washington",Alive,Southampton,1,Child,4,Child,Male,81.8583333,33638,5,,1st Class Passenger,1
"DODGE, Mrs Ruth",Alive,Southampton,1,Woman,34,Adult,Female,81.8583333,33638,5,,1st Class Passenger,1
"DOEL, Mr Frederick",Alive,Southampton,Crew,Man,22,Adult,Male,,,,Fireman,Engineering Crew,E
"DOLBY, Mr Joseph",Dead,Belfast,Crew,Man,38,Adult,Male,,,,Reception Steward (1st Class),Victualling Crew,V
"DOLING, Miss Elsie",Alive,Southampton,2,Woman,18,Adult,Female,23,231919,,,2nd Class Passenger,2
"DOLING, Mrs Ada Julia Elizabeth",Alive,Southampton,2,Woman,34,Adult,Female,23,231919,,,2nd Class Passenger,2
"DONATI, Sig. Italo Francesco",Dead,Southampton,Crew,Man,17,Adult,Male,,,[311],Assistant Waiter,Restaurant Staff,R
"DONOGHUE, Mr Frank (?Thomas)",Dead,Belfast,Crew,Man,35,Adult,Male,,,,Bed Room Steward,Victualling Crew,V
"DONOHOE, Miss Bridget",Dead,Queenstown,3,Woman,21,Adult,Female,7.75,364856,,,3rd Class Passenger,3
"DOOLEY, Mr Patrick",Dead,Queenstown,3,Man,38,Adult,Male,7.75,370376,,General Labourer,3rd Class Passenger,3
"DORE, Mr Albert James",Alive,Southampton,Crew,Man,22,Adult,Male,,,,Trimmer,Engineering Crew,E
"DORKING, Mr Edward Arthur",Alive,Southampton,3,Man,18,Adult,Male,8.05,10482,B,Groom,3rd Class Passenger,3
"DORNIER, Mr Louis Auguste",Dead,Southampton,Crew,Man,20,Adult,Male,,,,Assistant Fish Cook,Restaurant Staff,R
"DOUGHERTY, Mr William John",Dead,Queenstown,3,Man,22,Adult,Male,8.45833333,330877,,,3rd Class Passenger,3
"DOUGHTY, Mr Walter Thomas",Dead,Southampton,Crew,Man,22,Adult,Male,,,,Saloon Steward (2nd class),Victualling Crew,V
"DOUGLAS, Mr Walter Donald",Dead,Cherbourg,1,Man,50,Adult,Male,106.425,17761,[62],,1st Class Passenger,1
"DOUGLAS, Mrs Mahala",Alive,Cherbourg,1,Woman,48,Adult,Female,106.425,17761,2,,1st Class Passenger,1
"DOUGLAS, Mrs Mary Hlne",Alive,Cherbourg,1,Woman,27,Adult,Female,247.520833,17558,6,,1st Class Passenger,1
"DOUTON, Mr William Joseph",Dead,Southampton,2,Man,55,Adult,Male,26,28403,,Quarryman,2nd Class Passenger,2
"DOWDELL, Miss Elizabeth",Alive,Southampton,3,Woman,31,Adult,Female,12.475,364516,13,Housekeeper,3rd Class Passenger,3
"DOYLE, Miss Elizabeth",Dead,Queenstown,3,Woman,28,Adult,Female,7.75,368702,,,3rd Class Passenger,3
"DOYLE, Mr Laurence",Dead,Southampton,Crew,Man,27,Adult,Male,,,,Fireman,Engineering Crew,E
"DRAZENOVIC, Mr Jozef",Dead,Cherbourg,3,Man,33,Adult,Male,7.89583333,349241,[51],General Labourer,3rd Class Passenger,3
"DREW, Master Marshall Brines",Alive,Southampton,2,Child,8,Child,Male,32.5,28220,10,,2nd Class Passenger,2
"DREW, Mr James Vivian",Dead,Southampton,2,Man,42,Adult,Male,32.5,28220,,,2nd Class Passenger,2
"DREW, Mrs Lulu Thorne",Alive,Southampton,2,Woman,34,Adult,Female,32.5,28220,10,,2nd Class Passenger,2
"DROPKIN, Miss Jennie",Alive,Southampton,3,Woman,24,Adult,Female,8.05,392083,,Box Maker,3rd Class Passenger,3
"DUFF GORDON, Lucy Christiana, Lady",Alive,Cherbourg,1,Woman,48,Adult,Female,56.9291667,17485,1,Dressmaker / Couturire,1st Class Passenger,1
"DUFF GORDON, Sir Cosmo Edmund",Alive,Cherbourg,1,Man,49,Adult,Male,39.6,11755,1,Landowner,1st Class Passenger,1
"DUFFY, Mr William Luke",Dead,Belfast,Crew,Man,36,Adult,Male,,,,Writer / Engineer's Clerk,Engineering Crew,E
"DULLES, Mr William Crothers",Dead,Cherbourg,1,Man,39,Adult,Male,29.7,17580,[133],,1st Class Passenger,1
"DUNFORD, Mr William",Dead,Southampton,Crew,Man,47,Adult,Male,,,[71],Hospital Steward,Victualling Crew,V
"DUQUEMIN, Mr Joseph Pierre",Alive,Southampton,3,Man,24,Adult,Male,7.55,752,D,Mason,3rd Class Passenger,3
"DURN I MON, Sra. Florentina",Alive,Cherbourg,2,Woman,30,Adult,Female,13.8583333,2148,12,,2nd Class Passenger,2
"DURAN Y MORE, Sra. Asuncion",Alive,Cherbourg,2,Woman,27,Adult,Female,13.8583333,2149,12,,2nd Class Passenger,2
"DURNIL, Mr James",Dead,Southampton,Crew,Man,38,Adult,Male,,,,Leading Fireman,Engineering Crew,E
"DWAN, Mr Frank",Dead,Queenstown,3,Man,65,Adult,Male,7.75,336439,,Farm Labourer,3rd Class Passenger,3
"DYER, Mr Henry Ryland",Dead,Belfast,Crew,Man,24,Adult,Male,,,,Senior Assistant 4th. Engineer,Engineering Crew,E
"DYER, Mr William Henry",Dead,Southampton,Crew,Man,31,Adult,Male,,,,Saloon Steward (1st class),Victualling Crew,V
"DYKER, Mr Adolf Fredrik",Dead,Southampton,3,Man,23,Adult,Male,13.9,347072,,General Labourer,3rd Class Passenger,3
"DYKER, Mrs Anna Elisabeth Judith",Alive,Southampton,3,Woman,22,Adult,Female,13.9,347072,16,,3rd Class Passenger,3
"DYMOND, Mr Frank",Alive,Southampton,Crew,Man,40,Adult,Male,,,15,Fireman,Engineering Crew,E
"EAGLE, Mr Alfred James",Dead,Southampton,Crew,Man,22,Adult,Male,,,,Trimmer,Engineering Crew,E
"EARNSHAW, Mrs Olive",Alive,Cherbourg,1,Woman,23,Adult,Female,83.1583333,11767,7,Of Independent Means,1st Class Passenger,1
"EASTMAN, Mr Charles",Dead,Southampton,Crew,Man,44,Adult,Male,,,,Greaser,Engineering Crew,E
"EDBROOKE, Mr Francis Samuel Jacob",Dead,Southampton,Crew,Man,23,Adult,Male,,,,Third class steward,Victualling Crew,V
"EDE, Mr George Bulkeley",Dead,Southampton,Crew,Man,22,Adult,Male,,,,3rd Class Steward,Victualling Crew,V
"EDGE, Mr Frederick William",Dead,Southampton,Crew,Man,39,Adult,Male,,,,Deck Steward (2nd class),Victualling Crew,V
"EDVARDSSON, Mr Gustaf Hjalmar",Dead,Southampton,3,Man,18,Adult,Male,7.775,349912,,General Labourer,3rd Class Passenger,3
"EDWARDS, Mr Charles Essex",Dead,Southampton,Crew,Man,39,Adult,Male,,,,Assistant Pantryman Steward (1st Class),Victualling Crew,V
"EGG, Mr William Henry",Dead,Southampton,Crew,Man,47,Adult,Male,,,,Third class steward,Victualling Crew,V
"EITEMILLER, Mr George Floyd",Dead,Southampton,2,Man,25,Adult,Male,13,29751,,,2nd Class Passenger,2
"EKLUND, Mr Hans Linus",Dead,Southampton,3,Man,16,Adult,Male,7.775,347074,,General Labourer,3rd Class Passenger,3
"EKSTRM, Mr Johan",Dead,Southampton,3,Man,45,Adult,Male,6.975,347061,,General Labourer,3rd Class Passenger,3
"ELIAS NASRALLAH, Mr Tannous",Dead,Cherbourg,3,Man,22,Adult,Male,7.22916667,2695,,General Labourer,3rd Class Passenger,3
"ELIAS, Mr Dibo",Dead,Cherbourg,3,Man,29,Adult,Male,7.225,2674,,General Labourer,3rd Class Passenger,3
"ELIAS, Mr Joseph jr.",Dead,Cherbourg,3,Man,15,Adult,Male,7.22916667,2690,,General Labourer,3rd Class Passenger,3
"ELLIOTT, Mr Everett Edward",Dead,Southampton,Crew,Man,24,Adult,Male,,,[317],Trimmer,Engineering Crew,E
"ELLIS, Mr John Bertie",Alive,Southampton,Crew,Man,28,Adult,Male,,,2,Assistant Vegetable Cook,Victualling Crew,V
"ELSBURY, Mr William James",Dead,Southampton,3,Man,47,Adult,Male,7.25,3902,,Farmer,3rd Class Passenger,3
"EMANUEL, Miss Virginia Ethel",Alive,Southampton,3,Child,5,Child,Female,12.475,364516,13,,3rd Class Passenger,3
"ENANDER, Mr Ingvar",Dead,Southampton,2,Man,21,Adult,Male,13,236854,,,2nd Class Passenger,2
"ENDRES, Miss Caroline Louise",Alive,Cherbourg,1,Woman,39,Adult,Female,247.525,17757,4,Nurse,1st Class PassengerServant,1
"ENNIS, Mr Walter",Dead,Southampton,Crew,Man,34,Adult,Male,,,,Turkish Bath Attendant,Victualling Crew,V
"ERVINE, Mr Albert George",Dead,Belfast,Crew,Man,18,Adult,Male,,,,Assistant Electrician,Engineering Crew,E
"ESTANISLAU, Mr Manuel Gonalves",Dead,Southampton,3,Man,37,Adult,Male,7.05,3101306,,General Labourer,3rd Class Passenger,3
"ETCHES, Mr Henry Samuel",Alive,Belfast,Crew,Man,43,Adult,Male,,,5,First class bedroom steward,Victualling Crew,V
"EUSTIS, Miss Elizabeth Mussey",Alive,Cherbourg,1,Woman,54,Adult,Female,78.2666667,36947,4,,1st Class Passenger,1
"EVANS, Miss Edith Corse",Dead,Cherbourg,1,Woman,36,Adult,Female,31.6791667,17531,,,1st Class Passenger,1
"EVANS, Mr Alfred Frank",Alive,Southampton,Crew,Man,25,Adult,Male,,,15,Lookout,Deck Crew,D
"EVANS, Mr Frank Oliver",Alive,Southampton,Crew,Man,27,Adult,Male,,,10,Able Seaman,Deck Crew,D
"EVANS, Mr George Richard",Dead,Belfast,Crew,Man,27,Adult,Male,,,,Saloon Steward (1st class),Victualling Crew,V
"EVANS, Mr William Thomas",Dead,Southampton,Crew,Man,33,Adult,Male,,,[31],Trimmer,Engineering Crew,E
"EVERETT, Mr Thomas James",Dead,Southampton,3,Man,39,Adult,Male,15.1,6212,[187],Crane Operator,3rd Class Passenger,3
"FAHLSTRM, Mr Arne Joma",Dead,Southampton,2,Man,18,Adult,Male,13,236171,,,2nd Class Passenger,2
"FAIRALL, Mr Henry Charles",Dead,Belfast,Crew,Man,38,Adult,Male,,,,Saloon Steward (1st class),Victualling Crew,V
"FARDON, Mr Charles Richard",Dead,Southampton,3,Man,45,Adult,Male,7.25,,,Carpenter / Joiner,,3
"FARENDEN, Mr Ernest John",Dead,Belfast,Crew,Man,22,Adult,Male,,,,Confectioner,Victualling Crew,V
"FARQUHARSON, Mr William Edward",Dead,Belfast,Crew,Man,39,Adult,Male,,,,Senior 2nd. Engineer,Engineering Crew,E
"FARRELL, Mr James Jim",Dead,Queenstown,3,Man,25,Adult,Male,7.75,,[68],Farm Labourer,,3
"FARTHING, Mr John",Dead,Southampton,1,Man,57,Adult,Male,221.779167,17483,,Servant,1st Class PassengerServant,1
"FAULKNER, Mr William Stephen",Alive,Belfast,Crew,Man,37,Adult,Male,,,11,1st Class Bedroom Steward,Victualling Crew,V
"FAUNTHORPE, Mr Harry Bartram",Dead,Southampton,2,Man,41,Adult,Male,26,2926,[286],,2nd Class Passenger,2
"FAY, Mr Thomas Joseph",Dead,Southampton,Crew,Man,30,Adult,Male,,,,Greaser,Engineering Crew,E
"FELLOWES, Mr Alfred James",Dead,Belfast,Crew,Man,29,Adult,Male,,,[138],Assistant boots steward (1st class),Victualling Crew,V
"FELTHAM, Mr George William",Dead,Southampton,Crew,Man,36,Adult,Male,,,,Vienna Baker,Victualling Crew,V
"FERRARY, Mr Antonio",Dead,Southampton,Crew,Man,34,Adult,Male,,,,Trimmer,Engineering Crew,E
"FERRIS, Mr W.",Dead,Southampton,Crew,Man,38,Adult,Male,,,,Leading Fireman,Engineering Crew,E
"FEY, Sig. Carlo",Dead,Southampton,Crew,Man,30,Adult,Male,,,,Scullion,Restaurant Staff,R
"FILLBROOK, Mr Joseph Charles",Dead,Southampton,2,Man,18,Adult,Male,10.5,15185,,Painter & Decorator,2nd Class Passenger,2
"FINCH, Mr Harry",Dead,Southampton,Crew,Man,18,Adult,Male,,,,Steward (3rd Class),Victualling Crew,V
"FINOLI, Mr Luigi",Alive,Southampton,3,Man,34,Adult,Male,7.05,3101308,15,,3rd Class Passenger,3
"FIORAVANTE, Sig. Giuseppe Bertoldo",Dead,Southampton,Crew,Man,23,Adult,Male,,,,Assistant Scullion,Restaurant Staff,R
"FISCHER, Mr Eberhard Thelander",Dead,Southampton,3,Man,18,Adult,Male,7.79583333,350036,,,3rd Class Passenger,3
"FITZPATRICK, Mr Cecil William",Alive,Southampton,Crew,Man,21,Adult,Male,,,B,Mess Steward,Engineering Crew,E
"FITZPATRICK, Mr Hugh Joseph",Dead,Belfast,Crew,Man,28,Adult,Male,,,,Junior Boilermaker,Engineering Crew,E
"FLARTY, Mr Edward",Alive,Southampton,Crew,Man,43,Adult,Male,,,,Fireman,Engineering Crew,E
"FLEET, Mr Frederick",Alive,Belfast,Crew,Man,24,Adult,Male,,,6,Lookout,Deck Crew,D
"FLEGENHEIM, Mrs Antoinette",Alive,Cherbourg,1,Woman,48,Adult,Female,31.6833333,17598,7,,1st Class Passenger,1
"FLEMING, Miss Honora",Dead,Queenstown,3,Woman,22,Adult,Female,7.75,364859,,,3rd Class Passenger,3
"FLEMING, Miss Margaret",Alive,Cherbourg,1,Woman,42,Adult,Female,110.883333,17421,4,Personal Maid,1st Class PassengerServant,1
"FLETCHER, Mr Percy William",Dead,Belfast,Crew,Man,26,Adult,Male,,,,Bugler Steward,Victualling Crew,V
"FLYNN, Mr James",Dead,Queenstown,3,Man,28,Adult,Male,7.75,364851,,General Labourer,3rd Class Passenger,3
"FLYNN, Mr John",Dead,Queenstown,3,Man,42,Adult,Male,6.95,368323,,Farm Labourer,3rd Class Passenger,3
"FLYNN, Mr John Irwin",Alive,Southampton,1,Man,36,Adult,Male,26.2875,PC 14474,5,,1st Class Passenger,1
"FOLEY, Mr John",Alive,Belfast,Crew,Man,46,Adult,Male,,,,Deck storekeeper,Deck Crew,D
"FOLEY, Mr Joseph",Dead,Queenstown,3,Man,19,Adult,Male,7.87916667,330910,,Farm Labourer,3rd Class Passenger,3
"FOLEY, Mr Wilfred Cyril",Alive,Southampton,Crew,Man,22,Adult,Male,,,13,3rd Class Steward,Victualling Crew,V
"FOLEY, Mr William",Dead,Queenstown,3,Man,20,Adult,Male,7.75,365235,,Farm Labourer,3rd Class Passenger,3
"FOO, Mr Choong",Alive,Southampton,3,Man,32,Adult,Male,56.4958333,1601,13,Seaman,3rd Class Passenger,3
"FORD, Miss Dollina Margaret",Dead,Southampton,3,Woman,20,Adult,Female,34.375,6608,,Servant,3rd Class Passenger,3
"FORD, Miss Robina Maggie",Dead,Southampton,3,Child,7,Child,Female,34.375,6608,,,3rd Class Passenger,3
"FORD, Mr Arthur",Dead,Southampton,3,Man,22,Adult,Male,8.05,1478,,Carpenter / Joiner,3rd Class Passenger,3
"FORD, Mr Edward Watson",Dead,Southampton,3,Man,18,Adult,Male,34.375,6608,,Blacksmith,3rd Class Passenger,3
"FORD, Mr Ernest",Dead,Southampton,Crew,Man,32,Adult,Male,,,,3rd Class Steward,Victualling Crew,V
"FORD, Mr Francis",Dead,Southampton,Crew,Man,37,Adult,Male,,,,Bedroom Steward (2nd class),Victualling Crew,V
"FORD, Mr H.",Dead,Southampton,Crew,Man,22,Adult,Male,,,,Trimmer,Engineering Crew,E
"FORD, Mr Thomas",Dead,Southampton,Crew,Man,32,Adult,Male,,,,Leading Fireman,Engineering Crew,E
"FORD, Mr William Neal Thomas",Dead,Southampton,3,Man,16,Adult,Male,34.375,6608,,Messenger,3rd Class Passenger,3
