"","Name","Country","Age","Height","Weight","Sex","DOB","PlaceOB","Gold","Silver","Bronze","Total","Sport","Event"
"867","Sebastian Bayer","Germany",26,1.89,80,"M",1986-11-06,"Aachen (GER)",0,0,0,0,"Athletics","Men's Long Jump"
"868","Aron Baynes","Australia",25,2.08,115,"M",1986-09-12,"",0,0,0,0,"Basketball","Men's Basketball"
"869","Tamer Bayoumi","Egypt",30,1.67,NA,"M",1982-12-04,"Alexandria (EGY)",0,0,0,0,"Taekwondo","Men's -58kg"
"870","Afgan Bayramov","Azerbaijan",28,1.67,69,"M",NA,"Baku",0,0,0,0,"Weightlifting","Men's 69kg"
"871","Rovshan Bayramov","Azerbaijan",25,1.6,55,"M",1987-07-05,"Baku (AZE)",0,0,0,0,"Wrestling","Men's 55kg Greco-Roman"
"872","Leonid Anatolievich Bazan","Bulgaria",27,1.68,66,"M",1985-11-06,"VINOGRADOVKA (UKR)",0,0,0,0,"Wrestling","Men's 66kg Freestyle"
"873","Mario Bazan","Peru",24,1.75,64,"M",1987-01-09,"Lima (PER)",0,0,0,0,"Athletics","Men's 3000m Steeplechase"
"874","Umurbek Bazarbayev","Turkmenistan",30,1.65,62,"M",NA,"DASHOGUZ",0,0,0,0,"Weightlifting","Men's 62kg"
"875","Assan Bazayev","Kazakhstan",31,1.7,66,"M",NA,"Astana (KAZ)",0,0,0,0,"Cycling - Road","Men's Individual Time Trial, Men's Road Race"
"876","Nadezda Bazhina","Russian Federation",24,1.7,59,"F",NA,"Penza (RUS)",0,0,0,0,"Diving","Women's 3m Springboard"
"877","Svenja Bazlen","Germany",28,1.74,58,"F",1984-03-01,"Stuttgart (GER)",0,0,0,0,"Triathlon","Women's Triathlon"
"878","Lorene Bazolo","Congo",29,1.7,NA,"F",1983-04-05,"Brazzaville (CGO)",0,0,0,0,"Athletics","Women's 100m"
"879","Tatiana Bazyuk","Russian Federation",27,1.67,58,"F",NA,"LUTSK ()",0,0,0,0,"Sailing","Women's RS-X"
"880","Chiara Bazzoni","Italy",28,1.72,60,"F",1984-05-07,"Arezzo (ITA)",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"881","Gemma Beadsworth","Australia",25,1.8,79,"F",NA,"Perth (AUS)",0,0,0,0,"Water Polo","Women's Water Polo"
"882","Jamie Beadsworth","Australia",27,1.93,115,"M",1985-11-06,"",0,0,0,0,"Water Polo","Men's Water Polo"
"883","Lynne Beattie","Great Britain",26,1.82,65,"F",NA,"Glasgow (GBR)",0,0,0,0,"Volleyball","Women's Volleyball"
"884","Layne Beaubien","United States of America",36,2.01,100,"M",1976-04-07,"",0,0,0,0,"Water Polo","Men's Water Polo"
"885","Danielle Beaubrun","Saint Lucia",22,1.62,50,"F",1990-06-05,"Castries (LCA)",0,0,0,0,"Swimming","Women's 100m Breaststroke"
"886","Marie-Eve Beauchemin-Nadeau","Canada",23,1.66,69,"F",NA,"Montreal",0,0,0,0,"Weightlifting","Women's 69kg"
"887","Marie-Pier Beaudet","Canada",25,1.64,60,"F",1986-12-12,"Quebec",0,0,0,0,"Archery","Women's Individual"
"888","Philippe Beaudry","Canada",25,1.83,76,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Sabre"
"889","Maxime Beaumont","France",30,1.91,91,"M",NA,"",0,0,0,0,"Canoe Sprint","Men's Kayak Single (K1) 200m"
"890","Jeremy Beccu","France",21,1.65,NA,"M",NA,"AUCHEL (FRA)",0,0,0,0,"Boxing","Men's Light Fly (49kg)"
"891","Laura Bechtolsheimer","Great Britain",27,1.69,56,"F",NA,"Mainz (GER)",0,0,0,0,"Equestrian","Individual Dressage, Team Dressage, MISTRAL HOJRIS"
"892","Charlotte Becker","Germany",29,1.73,63,"F",NA,"DATTELN (GER)",0,0,0,0,"Cycling - Road, Cycling - Track","Women's Road Race, Women's Team Pursuit"
"893","Kanika Beckles","Grenada",20,NA,NA,"F",1991-03-10,"St Joseph (TRI)",0,0,0,0,"Athletics","Women's 400m"
"894","Nenad Bedik","Serbia",23,2.02,96,"M",NA,"",0,0,0,0,"Rowing","Men's Pair"
"895","Agata Bednarek","Poland",24,1.75,57,"F",NA,"SIERADZ (POL)",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"896","Romela Begaj","Albania",25,1.6,58,"F",1986-02-11,"Tiranzzz",0,0,0,0,"Weightlifting","Women's 58kg"
"897","Irina-Camelia Begu","Romania",21,1.81,67,"F",NA,"",0,0,0,0,"Tennis","Women's Singles"
"898","Kieran Behan","Ireland",23,1.63,NA,"M",NA,"GREAT BRITAIN (GBR)",0,0,0,0,"Gymnastics - Artistic","Men's Qualification"
"899","Pascal Behrenbruch","Germany",27,1.96,94,"M",NA,"Offenbach (GER)",0,0,0,0,"Athletics","Men's Decathlon"
"900","Clemence Beikes","France",28,1.8,71,"F",NA,"",0,0,0,0,"Basketball","Women's Basketball"
"901","Elizabeth Beisel","United States of America",19,1.68,66,"F",NA,"Wakefield (USA)",0,1,0,1,"Swimming","Women's 200m Backstroke, Women's 400m Individual Medley"
"902","Ruth Beitia","Spain",33,1.91,72,"F",1979-01-04,"Santander (ESP)",0,0,0,0,"Athletics","Women's High Jump"
"903","Kenenisa Bekele","Ethiopia",30,1.67,59,"M",NA,"Arsi (ETH)",0,0,0,0,"Athletics","Men's 5000m, Men's 10,000m"
"904","Tariku Bekele","Ethiopia",25,1.68,62,"M",NA,"Arsi (ETH)",0,0,0,0,"Athletics","Men's 10,000m"
"905","Emir Bekric","Serbia",21,1.95,88,"M",NA,"Beograd (SRB)",0,0,0,0,"Athletics","Men's 400m Hurdles"
"906","Alexei Bel","Cuba",22,NA,NA,"M",NA,"Camaguey (CUB)",0,0,0,0,"Wrestling","Men's 74kg Greco-Roman"
"907","Mohamed Khaled Belabbas","Algeria",31,1.78,70,"M",1981-04-07,"L HAY LES ROSES (FRA)",0,0,0,0,"Athletics","Men's 3000m Steeplechase"
"908","Friederike Belcher","Germany",30,1.8,70,"F",1982-06-03,"Hamburg (GER)",0,0,0,0,"Sailing","Women's 470"
"909","Mathew Belcher","Australia",29,1.73,62,"M",NA,"Gold Coast (AUS)",0,0,0,0,"Sailing","Men's 470"
"910","Claudia Belderbos","Netherlands",27,1.76,72,"F",NA,"",0,0,1,1,"Rowing","Women's Eight"
"911","Almensh Belete","Belgium",23,1.56,44,"F",NA,"ADIS ABEBA (ETH)",0,0,0,0,"Athletics","Women's 5000m"
"912","Mimi Belete","Bahrain",24,1.68,46,"F",1988-09-06,"ETHIOPIA (ETH)",0,0,0,0,"Athletics","Women's 1500m"
"913","Sarra Belhocine","Algeria",17,1.76,58,"F",NA,"",0,0,0,0,"Volleyball","Women's Volleyball"
"914","Olga Beliaeva","Russian Federation",27,1.73,64,"F",NA,"Rostov Region (RUS)",0,0,0,0,"Water Polo","Women's Water Polo"
"915","Maria Belibasaki","Greece",21,NA,NA,"F",NA,"AG.NIKOLAOS (GRE)",0,0,0,0,"Athletics","Women's 100m, Women's 200m"
"916","Marina Belikova","Russian Federation",26,1.73,58,"F",NA,"ROSTOV ON DON (RUS)",0,0,0,0,"Shooting","Women's Skeet"
"917","Bojan Beljanski","Serbia",26,2,105,"M",NA,"",0,0,0,0,"Handball","Men's Handball"
"918","Olga Belkina","Russian Federation",21,1.73,58,"F",NA,"Leningrad (RUS)",0,0,0,0,"Athletics","Women's 100m, Women's 4 x 100m Relay"
"919","Daniel Bell","New Zealand",22,1.8,75,"M",1990-09-05,"Hastings (NZL)",0,0,0,0,"Swimming","Men's 100m Butterfly, Men's 100m Backstroke, Men's 4x100m Medley Relay"
"920","Katie Bell","United States of America",24,1.5,43,"F",1988-05-02,"Columbus (USA)",0,0,0,0,"Diving","Women's 10m Platform"
"921","Zachary Bell","Canada",29,1.75,75,"M",NA,"WHITEHORSE (CAN)",0,0,0,0,"Cycling - Track","Men's Omnium"
"922","Francoise Bella","Cameroon",29,1.58,60,"F",1983-09-03,"",0,0,0,0,"Football","Women's Football"
"923","El Mahdi Bellaarouss","Morocco",22,1.84,76,"M",NA,"",0,0,0,0,"Football","Men's Football"
"924","Jefferson Bellaguarda","Switzerland",35,1.93,93,"M",1976-12-09,"",0,0,0,0,"Beach Volleyball","Men's Beach Volleyball"
"925","Craig Bellamy","Great Britain",33,1.75,64,"M",NA,"",0,0,0,0,"Football","Men's Football"
"926","Janeil Bellille","Trinidad and Tobago",23,1.63,59,"F",NA,"San Fernando (TRI)",0,0,0,0,"Athletics","Women's 400m Hurdles"
"927","Concepcion Bellorin","Spain",31,1.55,57,"F",1980-04-11,"BADAJOZ (ESP)",0,0,0,0,"Judo","Women's -57kg"
"928","Thomaz Bellucci","Brazil",24,NA,NA,"M",NA,"",0,0,0,0,"Tennis","Men's Singles, Men's Doubles"
"929","Tarik Belmadani","France",24,1.67,60,"M",NA,"VIRIAT (FRA)",0,0,0,0,"Wrestling","Men's 60kg Greco-Roman"
"930","Dailin Belmonte","Cuba",26,NA,NA,"F",NA,"Santiago de Cuba (CUB)",0,0,0,0,"Athletics","Women's Marathon"
"931","Mireia Belmonte Garcia","Spain",21,1.7,60,"F",1990-10-11,"Barcelona (ESP)",0,1,0,1,"Swimming","Women's 400m Freestyle, Women's 800m Freestyle, Women's 200m Butterfly, Women's 200m Individual Medley, Women's 400m Individual Medley, Women's 4x200m Freestyle Relay"
"932","Yana Belomoyna","Ukraine",19,1.64,46,"F",1992-02-11,"LUTSK (UKR)",0,0,0,0,"Cycling - Mountain Bike","Women's Cross-country"
"933","Marco Belotti","Italy",23,1.85,76,"M",NA,"Brescia (ITA)",0,0,0,0,"Swimming","Men's 200m Freestyle, Men's 4x200m Freestyle Relay"
"934","Vasilii Belous","Republic of Moldova",23,1.8,NA,"M",NA,"OCNITA (MDA)",0,0,0,0,"Boxing","Men's Welter (69kg)"
"935","Olga Belova","Russian Federation",18,1.67,50,"F",NA,"",0,0,0,0,"Water Polo","Women's Water Polo"
"936","Fabiana Beltrame","Brazil",30,1.73,59,"F",1982-09-04,"",0,0,0,0,"Rowing","Women's Lightweight Double Sculls"
"937","Samuel Beltz","Australia",31,1.8,70,"M",NA,"",0,0,0,0,"Rowing","Men's Lightweight Four"
"938","Daria Belyakina","Russian Federation",25,1.72,60,"F",NA,"UZBEKISTAN REGION ()",0,0,0,0,"Swimming","Women's 4x200m Freestyle Relay"
"939","Evgeniya Belyakova","Russian Federation",26,1.84,72,"F",NA,"",0,0,0,0,"Basketball","Women's Basketball"
"940","David Belyavskiy","Russian Federation",20,1.65,NA,"M",NA,"UDMURTIA (RUS)",0,0,0,0,"Gymnastics - Artistic","Men's Individual All-Around, Men's Team, Men's Qualification"
"941","Mohammed Bemammer","Morocco",22,1.84,74,"M",NA,"",0,0,0,0,"Football","Men's Football"
"942","Haitem Ben Alayech","Tunisia",23,1.65,65,"M",1989-10-06,"MORNAG (TUN)",0,0,0,0,"Wrestling","Men's 66kg Freestyle"
"943","Amira Ben Amor","Tunisia",26,1.68,49,"F",1985-07-09,"NABEUL (TUN)",0,0,0,0,"Athletics","Women's Marathon"
"944","Amira Ben Chaabane","Tunisia",22,1.75,61,"F",NA,"",0,0,0,0,"Fencing","Women's Individual Sabre"
"945","Mehdi Ben Cheikh","Tunisia",33,1.83,88,"M",NA,"KELIBIA (TUN)",0,0,0,0,"Volleyball","Men's Volleyball"
"946","Khaoula Ben Hamza","Tunisia",21,1.7,NA,"F",NA,"Tunis (TUN)",0,0,0,0,"Taekwondo","Women's +67kg"
"947","Bilel Ben Hassine","Tunisia",29,1.95,88,"M",NA,"KELIBIA (TUN)",0,0,0,0,"Volleyball","Men's Volleyball"
"948","Afef Ben Ismail","Tunisia",18,1.73,60,"F",NA,"Tunis (TUN)",0,0,0,0,"Canoe Sprint","Women's Kayak Single (K1) 200m, Women's Kayak Single (K1) 500m"
"949","Makram Ben Romdhane","Tunisia",23,2.04,102,"M",NA,"",0,0,0,0,"Basketball","Men's Basketball"
"950","Mohamed Ben Slimane","Tunisia",30,1.87,73,"M",NA,"Tunis (TUN)",0,0,0,0,"Volleyball","Men's Volleyball"
"951","Amor Ben Yahia","Tunisia",27,1.76,54,"M",1985-01-07,"KEBILIE (TUN)",0,0,0,0,"Athletics","Men's 3000m Steeplechase"
"952","Diego Benaglio","Switzerland",28,1.95,89,"M",1983-08-09,"",0,0,0,0,"Football","Men's Football"
"953","Tarek Aziz Benaissa","Algeria",21,1.72,60,"M",1991-07-04,"BORDJ BOU ARRERIDJ (ALG)",0,0,0,0,"Wrestling","Men's 60kg Greco-Roman"
"954","Maximilian Benassi","Italy",26,1.84,78,"M",NA,"Koln (GER)",0,0,0,0,"Canoe Sprint","Men's Kayak Single (K1) 1000m"
"955","Alfonso Benavidez Lopez de Ayala","Spain",21,1.81,84,"M",1991-09-03,"",0,0,0,0,"Canoe Sprint","Men's Canoe Single (C1) 200m"
"956","Abdelhafid Benchabla","Algeria",25,1.8,NA,"M",NA,"",0,0,0,0,"Boxing","Men's Light Heavy (81kg)"
"957","Jose Reynaldo Bencosme de Leon","Italy",20,1.85,73,"M",NA,"PROVINCIA DI LA VEGA (DOM)",0,0,0,0,"Athletics","Men's 400m Hurdles"
"958","Michele Benedetti","Italy",27,1.75,68,"M",NA,"Parma (ITA)",0,0,0,0,"Diving","Men's 3m Springboard"
"959","Nicola Benedetti","Italy",26,1.98,88,"M",NA,"Modena (ITA)",0,0,0,0,"Modern Pentathlon","Men's Modern Pentathlon"
"960","Petr Benes","Czech Republic",37,1.98,95,"M",NA,"",0,0,0,0,"Beach Volleyball","Men's Beach Volleyball"
"961","Meaghan Benfeito","Canada",23,1.55,50,"F",1989-02-03,"Montreal (CAN)",0,0,1,1,"Diving","Women's 10m Platform, Women's Synchronised 10m Platform"
"962","Jerry Bengtson","Honduras",25,1.82,79,"M",1987-08-04,"",0,0,0,0,"Football","Men's Football"
"963","Angelica Bengtsson","Sweden",19,1.63,50,"F",1993-08-07,"VACKELSANG (SWE)",0,0,0,0,"Athletics","Women's Pole Vault"
"964","Rolf-Goran Bengtsson","Sweden",50,1.71,70,"M",1962-02-06,"HARDEBERGA (SWE)",0,0,0,0,"Equestrian","Individual Jumping, Team Jumping, CASALL"
"965","Tanoh Benie","Cote d'Ivoire",18,1.63,48,"F",NA,"MPODY",0,0,0,0,"Wrestling","Women's 48kg Freestyle"
"966","Bruna Beatriz Benites Soares","Brazil",26,1.78,65,"F",NA,"",0,0,0,0,"Football","Women's Football"
"967","Alejandra Benitez","Venezuela",32,1.62,58,"F",1980-07-07,"",0,0,0,0,"Fencing","Women's Individual Sabre"
"968","Pamela Benitez","El Salvador",21,1.65,57,"F",1991-09-05,"San Salvador (ESA)",0,0,0,0,"Swimming","Women's 800m Freestyle"
"969","Jenifer Benitez Benitez","Spain",23,1.6,48,"F",NA,"LAS PALMAS (ESP)",0,0,0,0,"Diving","Women's 3m Springboard"
"970","Barbara Benko","Hungary",22,1.73,61,"F",NA,"Budapest (HUN)",0,0,0,0,"Cycling - Mountain Bike","Women's Cross-country"
"971","Julien Benneteau","France",30,1.85,79,"M",NA,"",0,0,0,0,"Tennis","Men's Singles, Men's Doubles"
"972","Laura Bennett","United States of America",37,1.75,56,"F",NA,"North Palm Beach (USA)",0,0,0,0,"Triathlon","Women's Triathlon"
"973","Ronald Bennett","Honduras",27,1.75,70,"M",1984-11-10,"TELA (HON)",0,0,0,0,"Athletics","Men's 110m Hurdles"
"974","Ryan Bennett","Great Britain",22,1.88,70,"M",1990-06-03,"",0,0,0,0,"Football","Men's Football"
"975","Hawley Bennett-Awad","Canada",35,1.61,52,"F",1977-06-05,"Murrayville (CAN)",0,0,0,0,"Equestrian","Individual Eventing, Team Eventing, GIN & JUICE"
"976","Zohra Bensalem","Algeria",22,1.78,68,"F",1990-05-04,"",0,0,0,0,"Volleyball","Women's Volleyball"
"977","Craig Benson","Great Britain",18,1.83,76,"M",NA,"Livingston (GBR)",0,0,0,0,"Swimming","Men's 100m Breaststroke, Men's 4x100m Medley Relay"
"978","Anna Bentley","Great Britain",31,1.83,73,"F",NA,"",0,0,0,0,"Fencing","Women's Individual Foil, Women's Team Foil"
"979","Allan Bentsen","Denmark",43,1.82,85,"M",NA,"ODENSE",0,0,0,0,"Table Tennis","Men's Singles"
"980","Pierre Yves Beny","France",29,1.66,NA,"M",1983-12-02,"Lille (FRA)",0,0,0,0,"Gymnastics - Artistic","Men's Team, Men's Qualification"
"981","Fumiyuki Beppu","Japan",29,1.8,65,"M",1983-10-04,"YOKOHAMA (JPN)",0,0,0,0,"Cycling - Road","Men's Individual Time Trial, Men's Road Race"
"982","Marius Daniel Berbecar","Romania",27,1.66,NA,"M",NA,"Bistrita (ROU)",0,0,0,0,"Gymnastics - Artistic","Men's Team, Men's Qualification"
"983","Oleg Berdos","Republic of Moldova",25,1.75,68,"M",1987-09-06,"Chisinau (MDA)",0,0,0,0,"Cycling - Road","Men's Road Race"
"984","Tomas Berdych","Czech Republic",26,1.95,92,"M",NA,"",0,0,0,0,"Tennis","Men's Singles, Men's Doubles"
"985","Zsombor Berecz","Hungary",26,1.95,85,"M",NA,"Budapest (HUN)",0,0,0,0,"Sailing","Men's Laser"
"986","Ricky Berens","United States of America",24,1.88,93,"M",NA,"Charlotte (USA)",1,1,0,2,"Swimming","Men's 200m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay"
"987","Olga Beresnyeva","Ukraine",26,1.74,72,"F",1985-12-10,"MARIUPOL (UKR)",0,0,0,0,"Swimming","Women's 10km Marathon"
"988","Katarina Beresova","Slovakia",24,1.63,47,"F",1987-10-10,"TREBISOV (SVK)",0,0,0,0,"Athletics","Women's Marathon"
"989","Yury Berezhko","Russian Federation",28,1.98,93,"M",NA,"KOMSOMOLSK",0,0,0,0,"Volleyball","Men's Volleyball"
"990","Jana Berezko-Marggrander","Germany",16,1.65,NA,"F",NA,"TOLLJATTI (RUS)",0,0,0,0,"Gymnastics - Rhythmic","Individual All-Around"
"991","Lindsey Berg","United States of America",32,1.73,77,"F",NA,"Honolulu (USA)",0,0,0,0,"Volleyball","Women's Volleyball"
"992","Zakarya Bergdich","Morocco",23,1.76,70,"M",1989-07-01,"",0,0,0,0,"Football","Men's Football"
"993","Stig-Andre Berge","Norway",29,NA,NA,"M",NA,"Oslo (NOR)",0,0,0,0,"Wrestling","Men's 60kg Greco-Roman"
"994","Gabriel Bergen","Canada",30,1.87,92,"M",1982-06-07,"",0,1,0,1,"Rowing","Men's Eight"
"995","Janine Berger","Germany",16,1.63,NA,"F",NA,"DILLINGEN A D DONAU (GER)",0,0,0,0,"Gymnastics - Artistic","Women's Team, Women's Qualification"
"996","Claire Bergin","Ireland",27,1.86,61,"F",1985-01-02,"Dublin (IRL)",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"997","Jere Bergius","Finland",25,1.84,76,"M",1987-04-04,"Valkeakoski (FIN)",0,0,0,0,"Athletics","Men's Pole Vault"
"998","Emma Berglund","Sweden",23,1.71,64,"F",NA,"",0,0,0,0,"Football","Women's Football"
"999","Ignacio Bergner","Argentina",27,1.91,86,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"1000","Zuzana Bergrova","Czech Republic",27,1.75,64,"F",NA,"Usti Nad Labem (CZE)",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"1001","Denys Berinchyk","Ukraine",24,1.7,NA,"M",1988-05-05,"",0,0,0,0,"Boxing","Men's Light Welter (64kg)"
"1002","Eline Berings","Belgium",26,1.65,58,"F",NA,"Gent (BEL)",0,0,0,0,"Athletics","Women's 100m Hurdles"
"1003","Lobke Berkhout","Netherlands",31,1.83,70,"F",1980-11-11,"Amsterdam (NED)",0,0,0,0,"Sailing","Women's 470"
"1004","Krisztian Berki","Hungary",27,1.78,NA,"M",NA,"Budapest (HUN)",0,0,0,0,"Gymnastics - Artistic","Men's Qualification"
"1005","Carlos Berlocq","Argentina",29,1.84,81,"M",1983-03-02,"",0,0,0,0,"Tennis","Men's Singles"
"1006","Yanet Bermoy Acosta","Cuba",25,NA,51,"F",NA,"CIENFUEGOS",0,1,0,1,"Judo","Women's -52kg"
"1007","Patricia Alejandra Bermudez","Argentina",25,1.5,48,"F",1987-05-02,"SANTIAGO DEL ESTERO (ARG)",0,0,0,0,"Wrestling","Women's 48kg Freestyle"
"1008","Carlos Berna","Colombia",22,1.52,56,"M",NA,"CAREPA",0,0,0,0,"Weightlifting","Men's 56kg"
"1009","Antoni Bernado","Andorra",45,1.75,64,"M",1966-09-12,"Sant Julia de Loria (AND)",0,0,0,0,"Athletics","Men's Marathon"
"1010","Pablo Aitor Bernal Rosique","Spain",25,1.89,83,"M",NA,"ALHAMA DE MURCIA (ESP)",0,0,0,0,"Cycling - Track","Men's Team Pursuit"
"1011","Alain Bernard","France",29,1.96,90,"M",1983-01-05,"Aubagne (FRA)",1,0,0,1,"Swimming","Men's 4x100m Freestyle Relay"
"1012","Ali Sue Bernard","United States of America",26,1.73,72,"F",1986-11-04,"New Ulm (USA)",0,0,0,0,"Wrestling","Women's 72kg Freestyle"
"1013","Neisha Bernard-Thomas","Grenada",31,1.65,57,"F",NA,"SAINT PATRICK (GRN)",0,0,0,0,"Athletics","Women's 800m"
"1014","Jeimy Bernardez","Honduras",25,1.7,60,"F",1986-03-09,"TELA (HON)",0,0,0,0,"Athletics","Women's 100m Hurdles"
"1015","Natalia Bernardo","Angola",25,1.7,50,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"1016","Sona Bernardova","Czech Republic",36,1.68,NA,"F",1976-02-02,"Brno  (CZE)",0,0,0,0,"Synchronised Swimming","Women's Duets"
"1017","Milosz Bernatajtys","Poland",30,1.83,70,"M",NA,"",0,0,0,0,"Rowing","Men's Lightweight Four"
"1018","Jean Baptiste Bernaz","France",25,1.83,77,"M",NA,"FREJUS (FRA)",0,0,0,0,"Sailing","Men's Laser"
"1019","Peter Bernek","Hungary",20,1.9,81,"M",NA,"Budapest (HUN)",0,0,0,0,"Swimming","Men's 200m Backstroke, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay"
"1020","Justine Bernier","Canada",23,1.78,70,"F",NA,"",0,0,0,0,"Football","Women's Football"
"1021","Juozas Bernotas","Lithuania",23,1.86,80,"M",NA,"Kaunas (LTU)",0,0,0,0,"Sailing","Men's RS-X"
"1022","Cedric Berrest","France",27,1.91,97,"M",1985-02-04,"",0,0,0,0,"Rowing","Men's Double Sculls"
"1023","Maria Bertelli","Great Britain",34,1.71,63,"F",1977-06-10,"TAMESIDE (GBR)",0,0,0,0,"Volleyball","Women's Volleyball"
"1024","Sara Bertolasi","Italy",24,1.78,68,"F",NA,"",0,0,0,0,"Rowing","Women's Pair"
"1025","Ryan Bertrand","Great Britain",22,1.8,73,"M",1989-05-08,"",0,0,0,0,"Football","Men's Football"
"1026","Elodie Bertrand","France",31,1.8,69,"F",1981-09-01,"Bordeaux (FRA)",0,0,0,0,"Sailing","Women's Elliott 6m"
"1027","Annemieke Bes","Netherlands",34,1.77,73,"F",NA,"Groningen (NED)",0,0,0,0,"Sailing","Women's Elliott 6m"
"1028","Azza Besbes","Tunisia",21,1.75,62,"F",NA,"",0,0,0,0,"Fencing","Women's Individual Sabre"
"1029","Sarra Besbes","Tunisia",23,1.75,62,"F",1989-05-02,"",0,0,0,0,"Fencing","Women's Individual Epee"
"1030","Irina Bespalova","Russian Federation",31,1.72,60,"F",NA,"Arkhangelsk (RUS)",0,0,0,0,"Swimming","Women's 100m Butterfly, Women's 4x100m Medley Relay"
"1031","Mariya Bespalova","Russian Federation",26,1.83,85,"F",NA,"LENINGRAD183 (RUS)",0,0,0,0,"Athletics","Women's Hammer Throw"
"1032","Gabriela Best","Argentina",27,1.86,75,"F",1984-01-12,"",0,0,0,0,"Rowing","Women's Pair"
"1033","Ana Talia Betancur David","Colombia",26,1.63,72,"F",NA,"MEDELLIN (COL)",0,0,0,0,"Wrestling","Women's 72kg Freestyle"
"1034","Berta Betanzos","Spain",24,1.78,72,"F",NA,"Santander (ESP)",0,0,0,0,"Sailing","Women's 470"
"1035","Yoandris Betanzos","Cuba",30,NA,NA,"M",NA,"Santiago de Cuba (CUB)",0,0,0,0,"Athletics","Men's Triple Jump"
"1036","Artur Beterbiev","Russian Federation",27,1.84,NA,"M",NA,"Khasavyurt (RUS)",0,0,0,0,"Boxing","Men's Heavy (91kg)"
"1037","Charles Edward Betts","United States of America",26,1.73,84,"M",1986-08-03,"Minneapolis (USA)",0,0,0,0,"Wrestling","Men's 84kg Greco-Roman"
"1038","Sam Bewley","New Zealand",25,1.91,81,"M",NA,"Rotorua (NZL)",0,0,0,0,"Cycling - Mountain Bike, Cycling - Track","Men's Cross-country, Men's Team Pursuit"
"1039","Simon Beyeler","Switzerland",30,1.7,63,"M",1982-11-06,"Bern (SUI)",0,0,0,0,"Shooting","Men's 10m Air Rifle, Men's 50m Rifle 3 Positions"
"1040","Bebey Beyene","Cameroon",20,1.68,70,"F",1992-10-05,"",0,0,0,0,"Football","Women's Football"
"1041","Ursa Bezan","Slovenia",18,1.8,68,"F",NA,"Kranj (SLO)",0,0,0,0,"Swimming","Women's 4x200m Freestyle Relay"
"1042","Sergiy Bezugliy","Azerbaijan",27,1.83,84,"M",1984-07-10,"",0,0,0,0,"Canoe Sprint","Men's Canoe Double (C2) 1000m"
"1043","Arjan Bhullar","Canada",26,1.8,120,"M",NA,"Vancouver (CAN)",0,0,0,0,"Wrestling","Men's 120kg Freestyle"
"1044","Mahesh Bhupathi","India",38,NA,NA,"M",1974-07-06,"",0,0,0,0,"Tennis","Men's Doubles"
"1045","Muhammad Umar Bhutta","Pakistan",19,NA,NA,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"1046","Yauhen Biadulin","Belarus",26,1.91,100,"M",1985-01-09,"Mogilev (BLR)",0,0,0,0,"Judo","Men's -100kg"
"1047","Cecilia Biagioli","Argentina",27,1.65,52,"F",1985-03-01,"Cordoba (ARG)",0,0,0,0,"Swimming","Women's 800m Freestyle, Women's 10km Marathon"
"1048","Ilaria Bianchi","Italy",22,1.7,74,"F",1990-06-01,"CASTEL SAN PIETRO TERME (ITA)",0,0,0,0,"Swimming","Women's 100m Butterfly, Women's 4x100m Medley Relay"
"1049","Roberta Bianconi","Italy",23,1.75,74,"F",1989-08-07,"RAPALLO (ITA)",0,0,0,0,"Water Polo","Women's Water Polo"
"1050","Aude Biannic","France",21,1.76,63,"F",NA,"LANDERNEAU (FRA)",0,0,0,0,"Cycling - Road","Women's Road Race"
"1051","Nora Aida Bicet","Spain",34,1.76,96,"F",NA,"PALMA SORIANO (ESP)",0,0,0,0,"Athletics","Women's Javelin Throw"
"1052","Bence Biczo","Hungary",19,1.82,80,"M",NA,"Pecs (HUN)",0,0,0,0,"Swimming","Men's 200m Butterfly"
"1053","Walid Bidani","Algeria",18,1.8,100,"M",1994-11-06,"MAGHNIA TLEMCEN (ALG)",0,0,0,0,"Weightlifting","Men's 105kg"
"1054","Soufiane Bidaoui","Morocco",22,1.68,63,"M",NA,"",0,0,0,0,"Football","Men's Football"
"1055","Mohammad Bidaryan","Islamic Republic of Iran",23,1.86,87,"M",NA,"Tehran (IRI)",0,0,0,0,"Swimming","Men's 100m Freestyle"
"1056","Paul Biedermann","Germany",25,1.95,95,"M",1986-07-08,"HALLE (GER)",0,0,0,0,"Swimming","Men's 200m Freestyle, Men's 400m Freestyle, Men's 4x200m Freestyle Relay"
"1057","Graham Biehl","United States of America",25,1.78,73,"M",NA,"San Diego (USA)",0,0,0,0,"Sailing","Men's 470"
"1058","Maciej Bielecki","Poland",25,1.73,80,"M",NA,"Bialystok (POL)",0,0,0,0,"Cycling - Track","Men's Team Sprint"
