total_cup_points,species,owner,country_of_origin,farm_name,mill,company,altitude,region,producer,in_country_partner,harvest_year,grading_date,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
83.33,Arabica,exportadora de cafe condor s.a,Colombia,various,trilladora agricola,exportadora de cafe condor s.a,1650 msnm,santander,varios,Almacafé,2015,"April 8th, 2015",Caturra,Washed / Wet,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,0.11,0,0,Green,1,"April 7th, 2016",Almacafé,m,1650,1650,1650
83.33,Arabica,afca,"Tanzania, United Republic Of",mondul coffee estate,mondul coffee estate,mondul coffee estate,1700,arusha,Mondul Coffee Estate,Africa Fine Coffee Association,2014,"December 12th, 2014",Other,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,0.12,0,0,Green,6,"December 12th, 2015",Africa Fine Coffee Association,m,1700,1700,1700
83.33,Arabica,j.andrade,Mexico,el pino,"el pino, cosautlan de carvajal","café andrade, s.a. de c.v.",1100,veracruz,JOSÉ LUIS ANDRADE SANDARA,AMECAFE,2013,"July 15th, 2014",Other,Washed / Wet,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,0.12,0,0,Green,0,"July 15th, 2015",AMECAFE,m,1100,1100,1100
83.33,Arabica,the coffee source inc.,Costa Rica,several,cafe altura de san ramon,the coffee source inc.,1300 msnm,san ramon,SEVERAL,Specialty Coffee Association,2014,"April 7th, 2014",Caturra,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,0.12,0,0,Green,3,"April 7th, 2015",Specialty Coffee Association,m,1300,1300,1300
83.33,Arabica,eileen koyanagi,United States (Hawaii),NA,NA,kona pacific farmers cooperative,NA,kona,NA,Specialty Coffee Association,2014,"February 25th, 2014",Hawaiian Kona,Natural / Dry,7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,0.11,0,0,Bluish-Green,1,"February 25th, 2015",Specialty Coffee Association,ft,NA,NA,NA
83.33,Arabica,eric thormaehlen,Costa Rica,several,several - coricafe dry mill,coricafe s.a.,1100-1300,central valley,CORICAFE BLEND,Specialty Coffee Association of Costa Rica,2013,"February 14th, 2014",Catuai,Washed / Wet,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,0.11,0,0,Green,3,"February 14th, 2015",Specialty Coffee Association of Costa Rica,m,1100,1300,1200
83.33,Arabica,dane loraas,Peru,NA,NA,sustainable harvest,NA,NA,NA,Specialty Coffee Association,2013,"January 21st, 2014",NA,Washed / Wet,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,7.5,0.12,0,0,Green,5,"January 21st, 2015",Specialty Coffee Association,m,NA,NA,NA
83.33,Arabica,itiah coffee llc,Haiti,marre blanche,NA,itiah coffee llc.,4200 feet,"thiotte, haiti",COOPCAB,Specialty Coffee Association,2012,"October 3rd, 2013",Typica,Washed / Wet,7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,0.11,0,0,Green,4,"October 3rd, 2014",Specialty Coffee Association,ft,1280.16,1280.16,1280.16
83.33,Arabica,carcafe ltda ci,Colombia,NA,neiva,carcafe ltda,1000 msnm,pitalito,ORLANDO ORTIZ / HIPOLITO TORRES,Almacafé,2013,"April 26th, 2013",Caturra,Natural / Dry,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,0.11,0,0,Green,1,"April 26th, 2014",Almacafé,m,1000,1000,1000
83.33,Arabica,juan luis alvarado romero,Guatemala,el sacramento,beneficio ixchel,"unex guatemala, s.a.",4300,oriente,LUIS RODRIGUEZ,Asociacion Nacional Del Café,2013,"February 26th, 2013",Bourbon,Washed / Wet,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,0.11,0,0,Green,3,"February 26th, 2014",Asociacion Nacional Del Café,ft,1310.64,1310.64,1310.64
83.33,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,kona pacific farmers cooperative,NA,kona,NA,Specialty Coffee Association,2012,"January 24th, 2013",Hawaiian Kona,Natural / Dry,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,0.1,0,0,Bluish-Green,4,"January 24th, 2014",Specialty Coffee Association,ft,NA,NA,NA
83.33,Arabica,steven kil,Burundi,sogestal kayanza,kiriyama washing station,the specialty coffee appraisers institute of asia,1880,kayanza,NA,Specialty Coffee Association,2012,"August 29th, 2012",Bourbon,Washed / Wet,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,0,0,0,NA,5,"August 29th, 2013",Specialty Coffee Association,m,1880,1880,1880
83.33,Arabica,exportadora de cafe condor s.a,Colombia,NA,trilladora boananza,exportadora de cafe condor s.a,1750 msnm,huila,condor,Almacafé,2012,"May 30th, 2012",Caturra,Washed / Wet,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,0,0,0,Green,1,"May 30th, 2013",Almacafé,m,1750,1750,1750
83.33,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,NA,kona,NA,Specialty Coffee Association,NA,"September 20th, 2011",NA,NA,8.08,7.83,7.83,7.75,7.67,7.58,9.33,10,9.33,7.92,0.01,0,0,NA,0,"September 19th, 2012",Specialty Coffee Association,ft,NA,NA,NA
83.33,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,NA,NA,NA,Specialty Coffee Association,NA,"February 24th, 2011",NA,NA,7.58,7.67,7.58,7.5,7.83,7.67,10,10,10,7.5,0,0,0,NA,0,"February 24th, 2012",Specialty Coffee Association,ft,NA,NA,NA
83.25,Arabica,cafe de don balbino s.c. de r.l. de c.v.,Mexico,corta pico,la catedral del cafe,cafe de don balbino s.c. de r.l. de c.v.,1600,sierra madre occidental,BALBINO RAMIREZ FLORES,Centro Agroecológico del Café A.C.,2017,"March 7th, 2017",Typica,Washed / Wet,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,0.11,0,0,Blue-Green,0,"March 7th, 2018",Centro Agroecológico del Café A.C.,m,1600,1600,1600
83.25,Arabica,troy quimby,Costa Rica,estate la patricia,micro beneficio la cabaña-javier meza,bold coast coffee,1900,tarrazu,Manuel Montero,Specialty Coffee Association,2016,"January 30th, 2017",Catuai,Pulped natural / honey,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,0.11,0,0,Green,0,"January 30th, 2018",Specialty Coffee Association,m,1900,1900,1900
83.25,Arabica,rodrigo soto,Costa Rica,coopellanobonito,coocafe r.l,panamerican coffee trading,NA,tarrazu,Coopellanobonito,Specialty Coffee Association of Costa Rica,2015,"September 20th, 2016",NA,Washed / Wet,7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,7.67,0.11,0,0,NA,0,"September 20th, 2017",Specialty Coffee Association of Costa Rica,m,NA,NA,NA
83.25,Arabica,juan luis alvarado romero,Guatemala,linda vista,linda vista,mercon guatemala s.a.,2100,nuevo oriente,PABLO CHUY,Asociacion Nacional Del Café,2016,"August 12th, 2016",Pacas,Washed / Wet,7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,0.11,0,2,Green,7,"August 12th, 2017",Asociacion Nacional Del Café,m,2100,2100,2100
83.25,Arabica,kawacom uganda ltd,Uganda,kawacom uganda ltd sipi farmers group,kawacom,kawacom uganda ltd,NA,"sipi, mt elgon",Kawacom Uganda LTD,Uganda Coffee Development Authority,2015,"May 19th, 2016",SL14,Washed / Wet,7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,7.67,0.12,0,0,Green,1,"May 19th, 2017",Uganda Coffee Development Authority,m,NA,NA,NA
83.25,Arabica,bourbon specialty coffees,Brazil,NA,dinamo armazens gerais ltda,bourbon specialty coffees,NA,campos altos - cerrado,NA,Brazil Specialty Coffee Association,2016,"January 12th, 2016",NA,NA,7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,8,0.12,0,0,Green,4,"January 11th, 2017",Brazil Specialty Coffee Association,m,NA,NA,NA
83.25,Arabica,carcafe ltda ci,Colombia,NA,neiva,carcafe ltda,442 msnm,huila,FRANKLIN DUSSAN,Almacafé,2015/2016,"November 27th, 2015",Caturra,Natural / Dry,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,0,0,0,Green,2,"November 26th, 2016",Almacafé,m,442,442,442
83.25,Arabica,productos y servicios chilindron s.a. de c.v.,Mexico,los charcos,la yerba,productos y servicios chilindron s.a. de c.v.,1261,cuarenteño,Rafael Arroyo Zoto,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,2015,"July 14th, 2015",Typica,Natural / Dry,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,0.12,0,0,Bluish-Green,2,"July 13th, 2016",Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,m,1261,1261,1261
83.25,Arabica,"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,sunshine valley estate 向陽高山咖啡,taiwan coffee laboratory,1000 m,natou county,LIN YEN CHIEN 林言謙,Specialty Coffee Association,2015,"June 18th, 2015",Bourbon,Washed / Wet,7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,0.1,0,0,Blue-Green,0,"June 17th, 2016",Specialty Coffee Association,m,1000,1000,1000
83.25,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,以勒咖啡,以勒咖啡,宸嶧國際,800公尺,南投國姓,蘇詠晴,Blossom Valley International,2014,"November 23rd, 2014",Typica,Washed / Wet,7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,0.1,0,0,Green,0,"November 23rd, 2015",Blossom Valley International,m,800,800,800
83.25,Arabica,compañia colombiana agroindustrial s.a,Colombia,NA,trilladora boananza,ecom cca sa,1483,eje cafetero,NA,Almacafé,2014,"June 24th, 2014",Caturra,Natural / Dry,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,0,0,0,Green,0,"June 24th, 2015",Almacafé,m,1483,1483,1483
83.25,Arabica,juan luis alvarado romero,Guatemala,finca medina,beneficio siembras vision (154),"siembras vision, s.a.",1500 msnm,antigua,"SIEMBRAS VISIÓN, S.A.",Asociacion Nacional Del Café,2014,"March 7th, 2014",Caturra,Washed / Wet,7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,0.1,0,0,Green,1,"March 7th, 2015",Asociacion Nacional Del Café,m,1500,1500,1500
83.25,Arabica,exportadora de cafe condor s.a,Colombia,NA,trilladora boananza,exportadora de cafe condor s.a,1750 msnm,huila,NA,Almacafé,2013,"August 2nd, 2013",Caturra,Washed / Wet,7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,0.11,0,0,Green,1,"August 2nd, 2014",Almacafé,m,1750,1750,1750
83.25,Arabica,calixto guillen vazquez,Mexico,various,productores de cafes especiales sc,"finca triunfo verde, s.c.",1300,chiapas,VRIOS PRODUCTORES,AMECAFE,2013,"March 29th, 2013",Bourbon,Washed / Wet,7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,0.12,0,0,Green,6,"March 29th, 2014",AMECAFE,m,1300,1300,1300
83.25,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,kona pacific farmers cooperative,NA,kona,NA,Specialty Coffee Association,2012,"March 21st, 2013",Hawaiian Kona,Natural / Dry,7.58,7.75,7.83,8,8.08,7.67,9.33,10,9.33,7.67,0.11,0,0,Bluish-Green,4,"March 21st, 2014",Specialty Coffee Association,ft,NA,NA,NA
83.25,Arabica,ernesto rodriguez luna,Mexico,finca teocelo,monte blanco,finca teocelo,NA,veracruz,ERNESTO RODRIGUEZ LUNA,AMECAFE,2012,"August 1st, 2012",Mundo Novo,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,0.13,0,0,Green,7,"August 1st, 2013",AMECAFE,m,NA,NA,NA
83.25,Arabica,modesto landeros flores,Mexico,mata larga,finca mata larga,NA,1000,fortín de las flores,MODESTO LANDEROS FLORES,AMECAFE,2012,"July 11th, 2012",Caturra,Washed / Wet,7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,0.12,0,0,Blue-Green,0,"July 11th, 2013",AMECAFE,m,1000,1000,1000
83.25,Arabica,juan luis alvarado romero,Guatemala,agropecuaria quiagral,beneficio ixchel,"unex guatemala, s.a.",4300,oriente,AGROPECUARIA QUIAGRAL,Asociacion Nacional Del Café,2012,"July 9th, 2012",Bourbon,Washed / Wet,7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,7.42,0.11,0,0,Green,9,"July 9th, 2013",Asociacion Nacional Del Café,ft,1310.64,1310.64,1310.64
83.25,Arabica,nucoffee,Brazil,água limpa,NA,nucoffee,1200m,grama valley,Eliane de Andrade Cyrino Noqueira,NUCOFFEE,2012,"February 23rd, 2012",Yellow Bourbon,Semi-washed / Semi-pulped,7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,0.11,0,0,Blue-Green,1,"February 22nd, 2013",NUCOFFEE,m,1200,1200,1200
83.25,Arabica,exportadora de cafe condor s.a,Colombia,NA,trilladora boananza,exportadora de cafe condor s.a,175,huila,NA,Almacafé,2012,"February 22nd, 2012",Caturra,Washed / Wet,7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,0.12,0,0,Green,1,"February 21st, 2013",Almacafé,m,175,175,175
83.25,Arabica,racafe & cia s.c.a,Colombia,NA,NA,c.i.racafe & cia s.c.a,de 1600 a 1950 msnm,la plata,La Plata,Almacafé,2012,"February 9th, 2012",Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,0.11,0,0,Green,0,"February 8th, 2013",Almacafé,m,1600,1950,1775
83.25,Arabica,exportadora de cafe condor s.a,Colombia,NA,trilladora bonanza - armenia quindioa,NA,1600-1800msnm,huila,NA,Almacafé,1T/2011,"June 14th, 2011",NA,NA,7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,7.5,0.08,0,0,NA,0,"June 13th, 2012",Almacafé,m,1600,1800,1700
83.25,Arabica,exportadora de cafe condor s.a,Colombia,NA,trilladora bonanza - armenia quindioa,NA,1880 msnm,cauca,NA,Almacafé,4t/2010,"February 22nd, 2011",NA,NA,8,7.67,7.67,7.25,7.67,7.5,10,10,10,7.5,0.13,0,0,NA,1,"February 22nd, 2012",Almacafé,m,1880,1880,1880
83.25,Arabica,exportadora de cafe condor s.a,Colombia,NA,trilladora bonanza - armenia quindio,NA,1800 m.s.n.m,cundinamarca,Exportadora de Café Cóndor S.A,Almacafé,4T/2010,"January 17th, 2011",NA,NA,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,7.58,0.04,0,0,NA,1,"January 17th, 2012",Almacafé,m,1800,1800,1800
83.17,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,dry mill,ipanema coffees,890,south of minas,Ipanema Agricola S.A,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Bourbon,Natural / Dry,7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,0.11,0,0,Green,4,"October 20th, 2018",Brazil Specialty Coffee Association,m,890,890,890
83.17,Arabica,juan luis alvarado romero,Guatemala,beneficio el torreon,beneficio ixchel,"unex guatemala, s.a.",1901,oriente,AGROINDUSTRIAS CAFETALERAS,Asociacion Nacional Del Café,2017,"August 24th, 2017",Bourbon,Washed / Wet,7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,0.1,0,0,Green,1,"August 24th, 2018",Asociacion Nacional Del Café,m,1901,1901,1901
83.17,Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",mamsera,rafiki (coffee) limited,volcafe/taylorwinch tanzania ltd,16.8,moshi,Mamsera,Tanzanian Coffee Board,2016,"June 20th, 2017",Bourbon,Washed / Wet,7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,0.12,0,0,Green,3,"June 20th, 2018",Tanzanian Coffee Board,m,168,168,168
83.17,Arabica,andrea bernal,Peru,NA,procesadora del sur sa,prodlesur sa,NA,NA,NA,Central De Organizaciones Productoras De Café y Cacao Del Perú - Central Café & Cacao,2017,"June 16th, 2017",NA,NA,7.92,7.5,7.5,7.58,7.67,7.5,10,10,10,7.5,0.11,0,1,Green,0,"June 16th, 2018",Central De Organizaciones Productoras De Café y Cacao Del Perú - Central Café & Cacao,m,NA,NA,NA
83.17,Arabica,"sunvirtue co., ltd.",Vietnam,apollo estate,yes,"sunvirtue co., ltd.",1550,dala,"Yeh, Li Chuan",Specialty Coffee Association,2017,"May 8th, 2017",Catimor,Natural / Dry,7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,7.58,0.07,0,0,None,0,"May 8th, 2018",Specialty Coffee Association,m,1550,1550,1550
83.17,Arabica,juan luis alvarado romero,Guatemala,finca medina,beneficio siembras vision (154),"siembras vision, s.a.",1500,antigua,FINCA MEDINA,Asociacion Nacional Del Café,2016,"May 23rd, 2016",Caturra,Washed / Wet,7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,0.11,2,2,Green,3,"May 23rd, 2017",Asociacion Nacional Del Café,m,1500,1500,1500
83.17,Arabica,cadexsa,Honduras,bethel,dry mill,cadexsa,1450,marcala,JOSE OMAR ACOSTA,Instituto Hondureño del Café,2016,"May 2nd, 2016",Catuai,Washed / Wet,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,0.11,0,1,Blue-Green,1,"May 2nd, 2017",Instituto Hondureño del Café,m,1450,1450,1450
83.17,Arabica,yunnan coffee exchange,China,chen lin,mojiang jinggong estate speciality development co.ltd mill,yunnan coffee exchange,1200,yunnan,Mojiang Jinggong Estate Speciality Development Co.Ltd,Yunnan Coffee Exchange,2015,"April 6th, 2016",Catimor,Washed / Wet,7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,0.11,0,0,Green,0,"April 6th, 2017",Yunnan Coffee Exchange,m,1200,1200,1200
83.17,Arabica,yunnan coffee exchange,China,yunnan success trade co.ltd,yunnan success trade co.ltd mill,yunnan coffee exchange,1600,dehong prefecture,Yunnan Success Trade Co.Ltd,Yunnan Coffee Exchange,2015,"April 5th, 2016",Catimor,Washed / Wet,7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,0.1,0,0,Green,3,"April 5th, 2017",Yunnan Coffee Exchange,m,1600,1600,1600
83.17,Arabica,consejo salvadoreño del café,El Salvador,agua caliente,agua caliente,consejo salvadoreño del café,1350,apaneca,Ecom Agroindustrial Corp. Ltd.,Salvadoran Coffee Council,2016,"March 29th, 2016",Bourbon,Washed / Wet,7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,0,0,0,Green,0,"March 29th, 2017",Salvadoran Coffee Council,m,1350,1350,1350
83.17,Arabica,juan luis alvarado romero,Guatemala,finca medina,beneficio siembras vision (154),"siembras vision, s.a.",1500msnm,antigua,FINCA MEDINA,Asociacion Nacional Del Café,2015,"October 29th, 2015",Bourbon,Washed / Wet,7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,0.11,0,0,Green,1,"October 28th, 2016",Asociacion Nacional Del Café,m,1500,1500,1500
83.17,Arabica,juan luis alvarado romero,Guatemala,"la esperanza, margarita nuyes",beneficio ixchel,"unex guatemala, s.a.",1400-1900 psn,oriente,PAPATURRO,Asociacion Nacional Del Café,2015,"September 29th, 2015",Bourbon,Washed / Wet,7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,0.12,0,0,Green,3,"September 28th, 2016",Asociacion Nacional Del Café,m,1400,1900,1650
83.17,Arabica,taylor winch (coffee) ltd.,Kenya,NA,NA,taylor winch (coffee) ltd,approx.1'500 metres a.s.l.,kenya,NA,Kenya Coffee Traders Association,2014,"July 3rd, 2015",SL28,Washed / Wet,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,0.1,0,0,Bluish-Green,1,"July 2nd, 2016",Kenya Coffee Traders Association,m,1,500,250.5
83.17,Arabica,doi tung development project,Thailand,NA,NA,doi tung development project,800++,thailand,Doi Tung Development Project,Specialty Coffee Association,2014,"June 9th, 2015",NA,Washed / Wet,7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,0.12,0,0,Bluish-Green,0,"June 8th, 2016",Specialty Coffee Association,m,800,800,800
83.17,Arabica,tutunze kahawa ltd,"Tanzania, United Republic Of",myanganyanga,tutunze kahawa ltd,tutunze kahawa ltd,1653,mbinga,Tutunze Kahawa Ltd,Africa Fine Coffee Association,2014,"December 12th, 2014",Other,Washed / Wet,7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,0.13,0,0,Bluish-Green,6,"December 12th, 2015",Africa Fine Coffee Association,m,1653,1653,1653
83.17,Arabica,racafe & cia s.c.a,Colombia,NA,NA,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,Almacafé,2014,"November 5th, 2014",Caturra,Washed / Wet,7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,7.75,0,0,0,NA,4,"November 5th, 2015",Almacafé,m,1600,1950,1775
83.17,Arabica,kabum trading company,Uganda,kaptanya,gumutindo,kabum trading company,1800,eastern,Kabum Trading Company,Uganda Coffee Development Authority,2014,"October 28th, 2014",SL14,Washed / Wet,8,7.67,7.5,7.42,7.33,7.58,10,10,10,7.67,0.1,0,0,Bluish-Green,0,"October 28th, 2015",Uganda Coffee Development Authority,m,1800,1800,1800
83.17,Arabica,cafe politico,Colombia,unkown,unkown,green mountain coffee,NA,NA,unkown,Specialty Coffee Association,2014,"August 25th, 2014",NA,Washed / Wet,7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,7.58,0.11,10,0,Green,3,"August 25th, 2015",Specialty Coffee Association,m,NA,NA,NA
83.17,Arabica,mayra yessenia torres,Honduras,el cerron,rio hamaca,"olam honduras, s.a.",1450 msnn,san marcos,Nelson Melgar Melgar,Instituto Hondureño del Café,2013,"April 12th, 2014",Catuai,Natural / Dry,7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,0.1,0,0,Green,5,"April 12th, 2015",Instituto Hondureño del Café,m,1450,1450,1450
83.17,Arabica,NA,Honduras,los hicaques,cigrah sps,cigrah,1350,comayagua,Reynerio Zepeda,Instituto Hondureño del Café,2014/2015,"April 8th, 2014",Caturra,Natural / Dry,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,0.11,0,0,Green,3,"April 8th, 2015",Instituto Hondureño del Café,m,1350,1350,1350
83.17,Arabica,juan luis alvarado romero,Guatemala,nueva granada,beneficio nueva granada,"agricola nueva granada, s.a.",5000 pies,san marcos,"AGRICOLA NUEVA GRANADA, S.A.",Asociacion Nacional Del Café,2014,"March 27th, 2014",Catuai,Washed / Wet,7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,7.67,0.09,0,0,Green,1,"March 27th, 2015",Asociacion Nacional Del Café,ft,1524,1524,1524
83.17,Arabica,eileen koyanagi,United States (Hawaii),NA,NA,kona pacific farmers cooperative,NA,kona,NA,Specialty Coffee Association,2013,"February 7th, 2014",Hawaiian Kona,Natural / Dry,7.5,7.5,7.58,7.42,7.92,7.67,10,10,10,7.58,0.11,0,0,Bluish-Green,0,"February 7th, 2015",Specialty Coffee Association,ft,NA,NA,NA
83.17,Arabica,balam hinyula,"Tanzania, United Republic Of",NA,rafiki (coffee) limited,taylor winch (t) ltd,1800,kilimanjaro,NA,Tanzanian Coffee Board,2014,"January 31st, 2014",Bourbon,Washed / Wet,7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,7.58,0.12,0,0,Green,1,"January 31st, 2015",Tanzanian Coffee Board,m,1800,1800,1800
83.17,Arabica,juan luis alvarado romero,Guatemala,finca el morito,beneficio ixchel,"unex guatemala, s.a.",4300,oriente,ROBERTO MONTERROSO,Asociacion Nacional Del Café,2013,"April 26th, 2013",Bourbon,Washed / Wet,7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,7.5,0.11,0,0,Green,2,"April 26th, 2014",Asociacion Nacional Del Café,ft,1310.64,1310.64,1310.64
83.17,Arabica,nestor mendez gomez,Mexico,santa cecilia,"angel albino corzo, chiapas",cesmach s.c.,1500,chiapas,MARGARITO ROBLERO VAZQUEZ,AMECAFE,2013,"March 29th, 2013",Typica,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,7.75,0.11,0,0,Green,2,"March 29th, 2014",AMECAFE,m,1500,1500,1500
83.17,Arabica,saul m. hernandez ramirez,Mexico,tlapacoya,"el chipoco, municipio de tlanchinol",NA,532,"tlanchinol, hidalgo",AMADOR HERNANDEZ DIONICIO,AMECAFE,2012,"September 27th, 2012",Typica,Washed / Wet,7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,7.67,0.12,3,0,None,8,"September 27th, 2013",AMECAFE,m,532,532,532
83.17,Arabica,saul m. hernandez ramirez,Mexico,la loma,el pedregal,NA,1089,san bartolo tutotepec,"TREJO VELASCO, ROMAN",AMECAFE,2012,"September 27th, 2012",Pacamara,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,7.67,0.14,0,0,None,10,"September 27th, 2013",AMECAFE,m,1089,1089,1089
83.17,Arabica,racafe & cia s.c.a,Colombia,NA,NA,c.i.racafe & cia s.c.a,de 1.600 a 1.950 msnm,huila,LA PLATA,Almacafé,2012,"August 31st, 2012",Caturra,Washed / Wet,7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,7.25,0.11,1,0,Green,2,"August 31st, 2013",Almacafé,m,1600,1950,1775
83.17,Arabica,fernando mendoza aparicio,Mexico,el mirador,el mirador,NA,700,san isidro,FERNANDO MENDOZA APARICIO,AMECAFE,2012,"July 11th, 2012",Typica,Washed / Wet,7.75,7.5,7.42,7.75,7.58,7.58,10,10,10,7.58,0.13,0,0,Green,5,"July 11th, 2013",AMECAFE,m,700,700,700
83.17,Arabica,exportadora de cafe condor s.a,Colombia,NA,trilladora bonanza - armenia quindioa,exportadora de cafe condor s.a,1750 msnm,huila,NA,Almacafé,2012,"June 8th, 2012",Caturra,Washed / Wet,7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,7.5,0.11,0,0,Blue-Green,0,"June 8th, 2013",Almacafé,m,1750,1750,1750
83.17,Arabica,alfredo bojalil,Mexico,finca nueva linda,agroindustrias unidas de mexico,ecomtrading,1380,la concordia,OCTAVIO MOGUEL FARRERA,AMECAFE,2012,"June 6th, 2012",Typica,Washed / Wet,7.5,7.75,7.58,7.58,7.67,7.5,10,10,10,7.58,0.11,0,0,NA,5,"June 6th, 2013",AMECAFE,m,1380,1380,1380
83.17,Arabica,nucoffee,Brazil,campo das flores,NA,nucoffee,1000m,south of minas,Giovane Senna Bonacorssi,NUCOFFEE,2012,"March 19th, 2012",Mundo Novo,Natural / Dry,7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,7.5,0.12,0,0,Green,1,"March 19th, 2013",NUCOFFEE,m,1000,1000,1000
83.17,Arabica,nucoffee,Brazil,são francisco da serra,NA,nucoffee,950m,mogiana,Maria Aparecida Ferreira Azevedo,NUCOFFEE,2012,"February 17th, 2012",Mundo Novo,Natural / Dry,7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,7.67,0.11,0,0,Green,4,"February 16th, 2013",NUCOFFEE,m,950,950,950
83.17,Arabica,felipe isaza,Guatemala,conquista / morito,beneficio ixchel,coffee resources inc.,4600 ft.,oriente,Conquista / Morito,Specialty Coffee Association,2012,"February 1st, 2012",Bourbon,Washed / Wet,7.75,7.5,7.67,7.5,7.92,8,10,10,9.33,7.5,0,0,0,Green,10,"January 31st, 2013",Specialty Coffee Association,ft,1402.08,1402.08,1402.08
